num_users,num_satellites,measurement_count,state_dimension,cooperative_jcls_attempted,il_position_error_m,lm_position_error_m,map_position_error_m,il_sync_error_s,lm_sync_error_s,map_sync_error_s,fallback_count,failure_count,success,single_ue_policy,lm_acceptance_mode,truth_state_used_for_lm_acceptance,lm_initial_residual_cost,lm_final_residual_cost,lm_cost_decrease,lm_final_damping,lm_convergence_status,lm_accepted_step_count,lm_rejected_step_count,lm_rejection_reasons,map_covariance_mode,map_update_mode,truth_state_used_for_map_covariance,truth_state_used_for_map_acceptance,map_initial_residual_cost,map_final_residual_cost,map_accepted_cost_decrease_min,map_rejected_candidate_count,map_accepted_update_count,map_rejected_update_count,map_fallback_count,map_covariance_trace_before,map_covariance_trace_after,map_covariance_condition_before,map_covariance_condition_after,map_covariance_diagonal_min,map_covariance_diagonal_max,map_update_norm_max,map_finite_covariance,map_symmetric_covariance,map_psd_covariance,map_true_error_before,map_true_error_after,map_fallback_paths,map_rejection_reasons
1,4,4,8,False,0.26229065223009157,0.26229065223009157,0.26229065223009157,2.1421024323915456e-10,2.1421024323915456e-10,2.1421024323915456e-10,1,0,True,noncooperative_clockless_baseline_only,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
1,8,8,12,False,0.23928421797729885,0.23928421797729885,0.23928421797729885,3.740229093377279e-10,3.740229093377279e-10,3.740229093377279e-10,1,0,True,noncooperative_clockless_baseline_only,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
1,12,12,16,False,0.39234181975549676,0.39234181975549676,0.39234181975549676,6.288413967376565e-10,6.288413967376565e-10,6.288413967376565e-10,1,0,True,noncooperative_clockless_baseline_only,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
3,4,18,16,True,0.6725903831549868,0.21319409915203305,0.21319409915203305,5.36918739880879e-10,1.3353240451837242e-10,1.3353240451837242e-10,5,0,True,not_applicable,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
3,8,30,20,True,0.30037122254726123,0.07467113264496299,0.04951813969782118,4.5147050485676336e-10,2.5173311851861874e-10,2.5173518048411375e-10,5,0,True,not_applicable,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
3,12,42,24,True,0.2178981278714308,0.022860978636266894,0.022860978636266894,4.978950774772289e-10,7.454770834242266e-11,7.454770834242266e-11,5,0,True,not_applicable,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
5,4,40,24,True,0.6012763353658238,0.43672083456453115,0.17026681986561443,3.17939747451612e-10,1.3869282381217762e-10,1.449542456696202e-10,5,0,True,not_applicable,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
5,8,60,28,True,0.221461786000059,0.04523822055677505,0.04523822055677505,3.5782651713645235e-10,7.746589040340847e-11,7.746589040340847e-11,5,0,True,not_applicable,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
5,12,80,32,True,0.11316907837201744,0.023888532487448325,0.023888532487448325,3.3609018440326903e-10,5.121284393643718e-11,5.121284393643718e-11,5,0,True,not_applicable,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
7,4,70,32,True,0.6678834108904477,0.05961863409535174,0.05961863409535174,3.2651042159745937e-10,7.161226681172911e-11,7.161226681172911e-11,5,0,True,not_applicable,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
7,8,98,36,True,0.4899446465568513,0.005884883911462436,0.004970218455125127,5.191038620978401e-10,9.301671767114194e-11,9.301141359463511e-11,5,0,True,not_applicable,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
7,12,126,40,True,0.22271625523794114,0.004611964177433462,0.0030018135793038075,4.468403793789161e-10,1.3198792729622858e-10,1.3199284779043226e-10,5,0,True,not_applicable,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,[],[]
