num_users,num_satellites,measurement_count,state_dimension,cooperative_jcls_attempted,il_position_error_m,lm_position_error_m,map_position_error_m,il_sync_error_s,lm_sync_error_s,map_sync_error_s,fallback_count,failure_count,success,single_ue_policy,lm_acceptance_mode,truth_state_used_for_lm_acceptance,lm_initial_residual_cost,lm_final_residual_cost,lm_cost_decrease,lm_final_damping,lm_convergence_status,lm_accepted_step_count,lm_rejected_step_count,lm_rejection_reasons,map_covariance_mode,map_update_mode,truth_state_used_for_map_covariance,truth_state_used_for_map_acceptance,map_initial_residual_cost,map_final_residual_cost,map_accepted_cost_decrease_min,map_rejected_candidate_count,map_accepted_update_count,map_rejected_update_count,map_fallback_count,map_covariance_trace_before,map_covariance_trace_after,map_covariance_condition_before,map_covariance_condition_after,map_covariance_diagonal_min,map_covariance_diagonal_max,map_update_norm_max,map_finite_covariance,map_symmetric_covariance,map_psd_covariance,map_true_error_before,map_true_error_after,map_fallback_paths,map_rejection_reasons
1,4,4,8,False,0.26229065223009157,0.26229065223009157,0.26229065223009157,2.1421024323915456e-10,2.1421024323915456e-10,2.1421024323915456e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],not_attempted_single_ue_baseline,not_attempted_single_ue_baseline,False,False,,,,0,0,0,0,,,,,,,,,,,,,[],[]
1,8,8,12,False,0.23928421797729885,0.23928421797729885,0.23928421797729885,3.740229093377279e-10,3.740229093377279e-10,3.740229093377279e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],not_attempted_single_ue_baseline,not_attempted_single_ue_baseline,False,False,,,,0,0,0,0,,,,,,,,,,,,,[],[]
1,12,12,16,False,0.39234181975549676,0.39234181975549676,0.39234181975549676,6.288413967376565e-10,6.288413967376565e-10,6.288413967376565e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],not_attempted_single_ue_baseline,not_attempted_single_ue_baseline,False,False,,,,0,0,0,0,,,,,,,,,,,,,[],[]
3,4,18,16,True,0.6725903831549868,0.2131941128459946,0.2131941128459946,5.36918739880879e-10,1.3351889972769755e-10,1.3351889972769755e-10,0,0,True,not_applicable,residual_trust_region,False,101905.38588472719,8.039718678245432,101897.34616604894,0.16666666666666666,converged,2,0,[],truth_error_diagonal,truth_gated_legacy_instrumented,True,True,16.815166893078285,23.711512747044793,0.0,5,0,5,0,1.7167252802469965e-07,500.0005701916074,4.047945408978902,47451670787.92283,9.662333442402951e-06,71.42863466082997,0.0,True,True,True,0.000434556993761658,0.000434556993761658,"[""global_fallback""]","[""legacy_truth_reverted""]"
3,8,30,20,True,0.30037122254726123,0.0746712430903486,0.05374084598746667,4.5147050485676336e-10,2.5155611400122627e-10,2.515678196318507e-10,0,0,True,not_applicable,residual_trust_region,False,2113136.4667014237,17.796749214450262,2113118.669952209,0.16666666666666666,converged,2,0,[],truth_error_diagonal,truth_gated_legacy_instrumented,True,True,68.83551676152742,43.88856659489983,15.987944165652372,3,2,3,0,9.448374133657957e-08,500.03557829774,2.454488229852147,40381156509.73144,0.0002533392799141921,45.459812047485656,0.00020391024494287476,True,True,True,0.0003223850422557435,0.0002871516752027976,"[""global_fallback""]","[""legacy_truth_reverted""]"
3,12,42,24,True,0.2178981278714308,0.022860981344926663,0.022860981344926663,4.978950774772289e-10,7.447557176800584e-11,7.447557176800584e-11,0,0,True,not_applicable,residual_trust_region,False,8521239.198573537,19.126419490971813,8521220.072154047,0.16666666666666666,converged,2,0,[],truth_error_diagonal,truth_gated_legacy_instrumented,True,True,46.5636147398081,53.531211965692385,0.0,5,0,5,0,1.0326677216979082e-08,500.01076880507105,1.1414541400875937,45971652456.11448,7.455831901994948e-05,33.33479485030361,0.0,True,True,True,0.00010658022770981956,0.00010658022770981956,"[""global_fallback""]","[""legacy_truth_reverted""]"
5,4,40,24,True,0.6012763353658238,0.4367421849794155,0.1700512820767665,3.17939747451612e-10,1.387074256800353e-10,1.4494523083046297e-10,0,0,True,not_applicable,residual_trust_region,False,523189.4380398846,10.028846295220902,523179.4091935894,0.16666666666666666,converged,2,0,[],truth_error_diagonal,truth_gated_legacy_instrumented,True,True,61.22389164962448,73.85450847490519,37.03173095545378,4,1,4,0,9.334753474850643e-07,500.0216181572595,12.204865277457609,49807494008.99016,2.7137042128408975e-05,55.56098458160842,0.001363438050976329,True,True,True,0.0010133226940286944,0.000483503962990758,"[""global_fallback""]","[""legacy_truth_reverted""]"
5,8,60,28,True,0.221461786000059,0.04523821719692235,0.04523821719692235,3.5782651713645235e-10,7.754213241242157e-11,7.754213241242157e-11,0,0,True,not_applicable,residual_trust_region,False,2145913.263211834,32.58821494924176,2145880.6749968845,0.16666666666666666,converged,2,0,[],truth_error_diagonal,truth_gated_legacy_instrumented,True,True,82.40458737425202,91.89609145313906,0.0,5,0,5,0,1.7303116951159158e-08,500.00984167047153,1.110438257201516,43610360542.59709,1.419682457361909e-05,38.463452173013145,0.0,True,True,True,0.0001379616926768988,0.0001379616926768988,"[""global_fallback""]","[""legacy_truth_reverted""]"
5,12,80,32,True,0.11316907837201744,0.023888533003920628,0.023888533003920628,3.3609018440326903e-10,5.109866734455777e-11,5.109866734455777e-11,0,0,True,not_applicable,residual_trust_region,False,7880598.375889876,53.4792608898166,7880544.896628986,0.16666666666666666,converged,2,0,[],truth_error_diagonal,truth_gated_legacy_instrumented,True,True,105.61234073837491,97.63376515854537,0.0,5,0,5,0,7.90801360113669e-09,500.0043473665181,1.0616548754823534,49612542709.472374,1.1398607181945329e-05,29.41256662867355,0.0,True,True,True,9.326743784006485e-05,9.326743784006485e-05,"[""global_fallback""]","[""legacy_truth_reverted""]"
7,4,70,32,True,0.6678834108904477,0.05961863505009501,0.05961863505009501,3.2651042159745937e-10,7.160304341120762e-11,7.160304341120762e-11,0,0,True,not_applicable,residual_trust_region,False,48172.52451834422,40.95338569784292,48131.57113264637,0.16666666666666666,converged,2,0,[],truth_error_diagonal,truth_gated_legacy_instrumented,True,True,114.61314747967432,83.27139534179422,0.0,5,0,5,0,3.35153980577728e-08,500.0666119511186,1.3308432162252082,45591248067.05876,1.7645178856851927e-06,45.475333075035145,0.0,True,True,True,0.00019200765053390475,0.00019200765053390475,"[""global_fallback""]","[""legacy_truth_reverted""]"
