num_users,num_satellites,measurement_count,state_dimension,cooperative_jcls_attempted,il_position_error_m,lm_position_error_m,map_position_error_m,il_sync_error_s,lm_sync_error_s,map_sync_error_s,fallback_count,failure_count,success,single_ue_policy,lm_acceptance_mode,truth_state_used_for_lm_acceptance,lm_initial_residual_cost,lm_final_residual_cost,lm_cost_decrease,lm_final_damping,lm_convergence_status,lm_accepted_step_count,lm_rejected_step_count,lm_rejection_reasons,map_covariance_mode,map_update_mode,truth_state_used_for_map_covariance,truth_state_used_for_map_acceptance,map_initial_residual_cost,map_final_residual_cost,map_accepted_cost_decrease_min,map_rejected_candidate_count,map_accepted_update_count,map_rejected_update_count,map_fallback_count,map_covariance_trace_before,map_covariance_trace_after,map_covariance_condition_before,map_covariance_condition_after,map_covariance_diagonal_min,map_covariance_diagonal_max,map_update_norm_max,map_finite_covariance,map_symmetric_covariance,map_psd_covariance,map_true_error_before,map_true_error_after,map_fallback_paths,map_rejection_reasons
1,4,4,8,False,0.26229065223009157,0.26229065223009157,0.26229065223009157,2.1421024323915456e-10,2.1421024323915456e-10,2.1421024323915456e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],not_attempted_single_ue_baseline,not_attempted_single_ue_baseline,False,False,,,,0,0,0,0,,,,,,,,,,,,,[],[]
1,8,8,12,False,0.23928421797729885,0.23928421797729885,0.23928421797729885,3.740229093377279e-10,3.740229093377279e-10,3.740229093377279e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],not_attempted_single_ue_baseline,not_attempted_single_ue_baseline,False,False,,,,0,0,0,0,,,,,,,,,,,,,[],[]
1,12,12,16,False,0.39234181975549676,0.39234181975549676,0.39234181975549676,6.288413967376565e-10,6.288413967376565e-10,6.288413967376565e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],not_attempted_single_ue_baseline,not_attempted_single_ue_baseline,False,False,,,,0,0,0,0,,,,,,,,,,,,,[],[]
3,4,18,16,True,0.6725903831549868,0.2131941128459946,0.5496184552293358,5.36918739880879e-10,1.3351889972769755e-10,4.174628115890761e-10,0,0,True,not_applicable,residual_trust_region,False,101905.38588472719,8.039718678245432,101897.34616604894,0.16666666666666666,converged,2,0,[],residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,False,False,16.815166893078285,8.149451971046728,12.39520590097597,0,5,0,0,0.31088870244831546,500.00056006455407,27283201.55736143,49677590027.85741,4.022765707606298e-06,71.42866436472713,0.001974841984772014,True,True,True,,,"[""optimizer_method""]",[]
3,8,30,20,True,0.30037122254726123,0.0746712430903486,0.06217734610006804,4.5147050485676336e-10,2.5155611400122627e-10,2.515669821101687e-10,0,0,True,not_applicable,residual_trust_region,False,2113136.4667014237,17.796749214450262,2113118.669952209,0.16666666666666666,converged,2,0,[],residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,False,False,68.83551676152742,8.694093141077223,19.329503328114342,0,5,0,0,0.021638046267797875,500.03439816075945,705817.934392186,47398858347.354576,0.0002897958278362745,45.46125679404406,0.000498584719072205,True,True,True,,,"[""optimizer_method""]",[]
3,12,42,24,True,0.2178981278714308,0.022860981344926663,0.09357046389568767,4.978950774772289e-10,7.447557176800584e-11,1.3150106084753753e-10,0,0,True,not_applicable,residual_trust_region,False,8521239.198573537,19.126419490971813,8521220.072154047,0.16666666666666666,converged,2,0,[],residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,False,False,46.5636147398081,25.42133760556134,13.077287214348594,0,5,0,0,0.00942214681655296,500.00995599528164,546989.7392071156,48740014224.36693,5.638029990533195e-05,33.33522934388911,0.0003762255067527592,True,True,True,,,"[""optimizer_method""]",[]
5,4,40,24,True,0.6012763353658238,0.4367421849794155,0.3064308875120512,3.17939747451612e-10,1.387074256800353e-10,1.5936705703557062e-10,0,0,True,not_applicable,residual_trust_region,False,523189.4380398846,10.028846295220902,523179.4091935894,0.16666666666666666,converged,2,0,[],residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,False,False,61.22389164962448,83.32402451292889,7.333971629908277,0,5,0,0,0.1456560772648613,500.02322661361313,12499714.278714428,47884741974.69287,4.649668432095624e-05,55.56290472549043,0.0015775134752620697,True,True,True,,,"[""optimizer_method""]",[]
5,8,60,28,True,0.221461786000059,0.04523821719692235,0.06236065893985959,3.5782651713645235e-10,7.754213241242157e-11,7.588675115935832e-11,0,0,True,not_applicable,residual_trust_region,False,2145913.263211834,32.58821494924176,2145880.6749968845,0.16666666666666666,converged,2,0,[],residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,False,False,82.40458737425202,31.283879473821052,50.45469000560392,0,5,0,0,0.01119251585995813,500.0148319003837,846147.6049880977,48814681221.07491,3.48686373677756e-05,38.46412639858127,0.0005850039240384455,True,True,True,,,"[""optimizer_method""]",[]
5,12,80,32,True,0.11316907837201744,0.023888533003920628,0.033141973580227045,3.3609018440326903e-10,5.109866734455777e-11,5.256119995028004e-11,0,0,True,not_applicable,residual_trust_region,False,7880598.375889876,53.4792608898166,7880544.896628986,0.16666666666666666,converged,2,0,[],residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,False,False,105.61234073837491,52.71461115668813,31.426380969219878,1,4,1,0,0.003815599681126303,400.0049588078029,96387.55381682284,39720246355.735275,1.747296779301019e-05,23.529990098887207,0.00022002079486156329,True,True,True,,,"[""optimizer_method""]","[""residual_cost_increased""]"
7,4,70,32,True,0.6678834108904477,0.05961863505009501,0.20776613283267403,3.2651042159745937e-10,7.160304341120762e-11,7.154247622925019e-11,0,0,True,not_applicable,residual_trust_region,False,48172.52451834422,40.95338569784292,48131.57113264637,0.16666666666666666,converged,2,0,[],residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,False,False,114.61314747967432,39.18543242281099,15.59269885337254,0,5,0,0,0.13096286332783164,500.05413680439403,6660581.965762009,49067547391.26861,3.0029457646278416e-06,45.47223638689894,0.002799975237036193,True,True,True,,,"[""optimizer_method""]",[]
