num_users,num_satellites,measurement_count,state_dimension,cooperative_jcls_attempted,il_position_error_m,lm_position_error_m,map_position_error_m,il_sync_error_s,lm_sync_error_s,map_sync_error_s,fallback_count,failure_count,success,single_ue_policy,lm_acceptance_mode,truth_state_used_for_lm_acceptance,lm_initial_residual_cost,lm_final_residual_cost,lm_cost_decrease,lm_final_damping,lm_convergence_status,lm_accepted_step_count,lm_rejected_step_count,lm_rejection_reasons,map_covariance_mode,map_update_mode,truth_state_used_for_map_covariance,truth_state_used_for_map_acceptance,map_initial_residual_cost,map_final_residual_cost,map_accepted_cost_decrease_min,map_rejected_candidate_count,map_accepted_update_count,map_rejected_update_count,map_fallback_count,map_covariance_trace_before,map_covariance_trace_after,map_covariance_condition_before,map_covariance_condition_after,map_covariance_diagonal_min,map_covariance_diagonal_max,map_update_norm_max,map_finite_covariance,map_symmetric_covariance,map_psd_covariance,map_true_error_before,map_true_error_after,map_acceptance_mode,map_score_components_used,map_initial_objective,map_final_objective,map_accepted_objective_decrease_min,map_prior_cost_before,map_prior_cost_after,map_position_update_norm_max,map_clock_update_norm_max,map_relative_update_norm_max,map_fallback_paths,map_rejection_reasons
1,4,4,8,False,0.26229065223009157,0.26229065223009157,0.26229065223009157,2.1421024323915456e-10,2.1421024323915456e-10,2.1421024323915456e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],not_attempted_single_ue_baseline,not_attempted_single_ue_baseline,False,False,,,,0,0,0,0,,,,,,,,,,,,,not_attempted_single_ue_baseline,[],,,,,,,,,[],[]
1,8,8,12,False,0.23928421797729885,0.23928421797729885,0.23928421797729885,3.740229093377279e-10,3.740229093377279e-10,3.740229093377279e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],not_attempted_single_ue_baseline,not_attempted_single_ue_baseline,False,False,,,,0,0,0,0,,,,,,,,,,,,,not_attempted_single_ue_baseline,[],,,,,,,,,[],[]
1,12,12,16,False,0.39234181975549676,0.39234181975549676,0.39234181975549676,6.288413967376565e-10,6.288413967376565e-10,6.288413967376565e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],not_attempted_single_ue_baseline,not_attempted_single_ue_baseline,False,False,,,,0,0,0,0,,,,,,,,,,,,,not_attempted_single_ue_baseline,[],,,,,,,,,[],[]
3,4,18,16,True,0.6725903831549868,0.2131941128459946,0.5489803428903006,5.36918739880879e-10,1.3351889972769755e-10,4.1092240276788137e-10,0,0,True,not_applicable,residual_trust_region,False,101905.38588472719,8.039718678245432,101897.34616604894,0.16666666666666666,converged,2,0,[],truth_error_diagonal,composite_observable,True,False,16.815166893078285,8.149849633050433,12.372701243252687,0,5,0,0,1.7167252802469965e-07,500.00050255171317,4.047945408978902,34548428517.57483,2.3201412235977924e-06,71.42865522593551,0.0019986784734520166,True,True,True,,,composite_observable,"[""clock_update_norm"", ""covariance_trace_nonexplosion"", ""finite_symmetric_psd_covariance"", ""information_gain_nonnegative"", ""measurement_residual_cost"", ""position_update_norm"", ""prior_consistency_cost"", ""relative_update_norm"", ""total_map_objective""]",16.815166893078285,8.149849651281746,12.37270123262059,0.0,1.8231313188180397e-08,0.001951760382489856,0.00043051951284810727,1.8106343319724972e-07,"[""optimizer_method""]",[]
3,8,30,20,True,0.30037122254726123,0.0746712430903486,0.054660946984881574,4.5147050485676336e-10,2.5155611400122627e-10,2.51554236103232e-10,0,0,True,not_applicable,residual_trust_region,False,2113136.4667014237,17.796749214450262,2113118.669952209,0.16666666666666666,converged,2,0,[],truth_error_diagonal,composite_observable,True,False,68.83551676152742,8.70570227954676,19.44973363206586,0,5,0,0,9.448374133657957e-08,500.0302579358651,2.454488229852147,47436368502.50315,0.00017876359109878995,45.46076288721792,0.00048767327575207974,True,True,True,,,composite_observable,"[""clock_update_norm"", ""covariance_trace_nonexplosion"", ""finite_symmetric_psd_covariance"", ""information_gain_nonnegative"", ""measurement_residual_cost"", ""position_update_norm"", ""prior_consistency_cost"", ""relative_update_norm"", ""total_map_objective""]",68.83551676152742,8.705702281160924,19.44973363169334,0.0,1.6141641098254765e-09,0.00043609289180645346,0.00021828470824122878,4.417909073750676e-08,"[""optimizer_method""]",[]
3,12,42,24,True,0.2178981278714308,0.022860981344926663,0.0933953552972071,4.978950774772289e-10,7.447557176800584e-11,1.3189904305663817e-10,0,0,True,not_applicable,residual_trust_region,False,8521239.198573537,19.126419490971813,8521220.072154047,0.16666666666666666,converged,2,0,[],truth_error_diagonal,composite_observable,True,False,46.5636147398081,24.113273656924694,10.578987753743675,0,5,0,0,1.0326677216979082e-08,500.0122854128927,1.1414541400875937,44455926513.02616,6.568143604153081e-05,33.33464695143818,0.00037214871359286485,True,True,True,,,composite_observable,"[""clock_update_norm"", ""covariance_trace_nonexplosion"", ""finite_symmetric_psd_covariance"", ""information_gain_nonnegative"", ""measurement_residual_cost"", ""position_update_norm"", ""prior_consistency_cost"", ""relative_update_norm"", ""total_map_objective""]",46.5636147398081,24.113273658309634,10.578987752841648,0.0,1.3849418992001542e-09,0.0002912681021245041,0.00023164101034385158,3.3713538412749466e-08,"[""optimizer_method""]",[]
5,4,40,24,True,0.6012763353658238,0.4367421849794155,0.305759965713734,3.17939747451612e-10,1.387074256800353e-10,9.463785927936458e-11,0,0,True,not_applicable,residual_trust_region,False,523189.4380398846,10.028846295220902,523179.4091935894,0.16666666666666666,converged,2,0,[],truth_error_diagonal,composite_observable,True,False,61.22389164962448,77.44178739982824,17.00924315527797,1,4,1,0,9.334753474850643e-07,400.03228308560335,12.204865277457609,39225909056.019745,5.325988809515761e-05,44.45386246461244,0.0013582004662217846,True,True,True,,,composite_observable,"[""clock_update_norm"", ""covariance_trace_nonexplosion"", ""finite_symmetric_psd_covariance"", ""information_gain_nonnegative"", ""measurement_residual_cost"", ""position_update_norm"", ""prior_consistency_cost"", ""relative_update_norm"", ""total_map_objective""]",61.22389164962448,77.44178739982824,17.00924315454874,0.0,1.44108985575134e-08,0.001335921448409776,0.00024499467435312917,9.552275754725981e-08,"[""optimizer_method""]","[""map_objective_increased"", ""residual_cost_increased""]"
5,8,60,28,True,0.221461786000059,0.04523821719692235,0.05702020763600035,3.5782651713645235e-10,7.754213241242157e-11,7.587910285075454e-11,0,0,True,not_applicable,residual_trust_region,False,2145913.263211834,32.58821494924176,2145880.6749968845,0.16666666666666666,converged,2,0,[],truth_error_diagonal,composite_observable,True,False,82.40458737425202,31.446343559413314,49.68840259038261,0,5,0,0,1.7303116951159158e-08,500.01186558486,1.110438257201516,45581675607.035034,2.5506938592490804e-05,38.46288065618529,0.0005882089304451545,True,True,True,,,composite_observable,"[""clock_update_norm"", ""covariance_trace_nonexplosion"", ""finite_symmetric_psd_covariance"", ""information_gain_nonnegative"", ""measurement_residual_cost"", ""position_update_norm"", ""prior_consistency_cost"", ""relative_update_norm"", ""total_map_objective""]",82.40458737425202,31.446343560168497,49.68840258692271,0.0,7.551832084790198e-10,0.0005414930881276457,0.0002297280600546402,4.1368958654006816e-08,"[""optimizer_method""]",[]
5,12,80,32,True,0.11316907837201744,0.023888533003920628,0.033370982444264924,3.3609018440326903e-10,5.109866734455777e-11,5.262635668229507e-11,0,0,True,not_applicable,residual_trust_region,False,7880598.375889876,53.4792608898166,7880544.896628986,0.16666666666666666,converged,2,0,[],truth_error_diagonal,composite_observable,True,False,105.61234073837491,52.78691422775826,30.146207178893263,1,4,1,0,7.90801360113669e-09,400.00654553235006,1.0616548754823534,39153163961.21825,9.319210349588454e-06,23.531930305747476,0.0002226361745873857,True,True,True,,,composite_observable,"[""clock_update_norm"", ""covariance_trace_nonexplosion"", ""finite_symmetric_psd_covariance"", ""information_gain_nonnegative"", ""measurement_residual_cost"", ""position_update_norm"", ""prior_consistency_cost"", ""relative_update_norm"", ""total_map_objective""]",105.61234073837491,52.78691422784636,30.146207178731487,0.0,8.81010679371658e-11,0.00029599726403524293,0.00017389988931582073,2.414448771921435e-08,"[""optimizer_method""]","[""map_objective_increased"", ""residual_cost_increased""]"
7,4,70,32,True,0.6678834108904477,0.05961863505009501,0.20811526817726905,3.2651042159745937e-10,7.160304341120762e-11,7.121704942423568e-11,0,0,True,not_applicable,residual_trust_region,False,48172.52451834422,40.95338569784292,48131.57113264637,0.16666666666666666,converged,2,0,[],truth_error_diagonal,composite_observable,True,False,114.61314747967432,39.38444523665458,14.96549972941412,0,5,0,0,3.35153980577728e-08,500.0478590773216,1.3308432162252082,48420872945.89103,3.343563228916664e-06,45.464778037992176,0.0028340135977937557,True,True,True,,,composite_observable,"[""clock_update_norm"", ""covariance_trace_nonexplosion"", ""finite_symmetric_psd_covariance"", ""information_gain_nonnegative"", ""measurement_residual_cost"", ""position_update_norm"", ""prior_consistency_cost"", ""relative_update_norm"", ""total_map_objective""]",114.61314747967432,39.38444524480346,14.965499725730226,0.0,8.148882796530237e-09,0.0028109000174269265,0.00036121207674236585,1.6786093491670776e-07,"[""optimizer_method""]",[]
7,8,98,36,True,0.4899446465568513,0.005884884082012033,0.011077968316579388,5.191038620978401e-10,9.337290744120166e-11,9.337397268208415e-11,0,0,True,not_applicable,residual_trust_region,False,6223372.282398036,71.15146090632099,6223301.130937129,0.16666666666666666,converged,2,0,[],truth_error_diagonal,composite_observable,True,False,145.49733338371573,58.06053366237176,24.786762984676436,0,5,0,0,1.120612629619829e-08,500.01896317223043,1.0996853901116521,49901964256.57262,1.675946918790034e-05,33.33648709677778,8.121998026071365e-05,True,True,True,,,composite_observable,"[""clock_update_norm"", ""covariance_trace_nonexplosion"", ""finite_symmetric_psd_covariance"", ""information_gain_nonnegative"", ""measurement_residual_cost"", ""position_update_norm"", ""prior_consistency_cost"", ""relative_update_norm"", ""total_map_objective""]",145.49733338371573,58.06053366243773,24.78676298461047,0.0,6.596673371239523e-11,6.912770566098455e-05,4.26385454709982e-05,4.8107256681172186e-09,"[""optimizer_method""]",[]
7,12,126,40,True,0.22271625523794114,0.00461196380774539,0.008987797059591456,4.468403793789161e-10,1.3211043003789857e-10,1.3210513005998452e-10,0,0,True,not_applicable,residual_trust_region,False,12517379.139383677,92.61973061029337,12517286.519653067,0.16666666666666666,converged,2,0,[],truth_error_diagonal,composite_observable,True,False,149.63627713983564,96.62001020361163,35.70589893537685,0,5,0,0,2.7436207124776845e-08,500.0069870286975,1.1717175697483315,49257329495.44482,6.444223795865187e-06,26.317519492309827,5.6699369671084116e-05,True,True,True,,,composite_observable,"[""clock_update_norm"", ""covariance_trace_nonexplosion"", ""finite_symmetric_psd_covariance"", ""information_gain_nonnegative"", ""measurement_residual_cost"", ""position_update_norm"", ""prior_consistency_cost"", ""relative_update_norm"", ""total_map_objective""]",149.63627713983564,96.62001020364328,35.70589893537236,0.0,3.164797633975932e-11,4.703012032548207e-05,3.167323660342146e-05,3.3583498795499e-09,"[""optimizer_method""]",[]
