num_users,num_satellites,measurement_count,state_dimension,cooperative_jcls_attempted,il_position_error_m,lm_position_error_m,map_position_error_m,il_sync_error_s,lm_sync_error_s,map_sync_error_s,fallback_count,failure_count,success,single_ue_policy,lm_acceptance_mode,truth_state_used_for_lm_acceptance,lm_initial_residual_cost,lm_final_residual_cost,lm_cost_decrease,lm_final_damping,lm_convergence_status,lm_accepted_step_count,lm_rejected_step_count,lm_rejection_reasons,map_covariance_mode,map_update_mode,truth_state_used_for_map_covariance,truth_state_used_for_map_acceptance,map_initial_residual_cost,map_final_residual_cost,map_accepted_cost_decrease_min,map_rejected_candidate_count,map_accepted_update_count,map_rejected_update_count,map_fallback_count,map_covariance_trace_before,map_covariance_trace_after,map_covariance_condition_before,map_covariance_condition_after,map_covariance_diagonal_min,map_covariance_diagonal_max,map_update_norm_max,map_finite_covariance,map_symmetric_covariance,map_psd_covariance,map_true_error_before,map_true_error_after,map_acceptance_mode,map_score_components_used,map_initial_objective,map_final_objective,map_accepted_objective_decrease_min,map_prior_cost_before,map_prior_cost_after,map_measurement_cost_before,map_measurement_cost_after,map_dynamics_cost_before,map_dynamics_cost_after,map_position_update_norm_max,map_clock_update_norm_max,map_relative_update_norm_max,map_fallback_paths,map_rejection_reasons
1,4,4,8,False,0.26229065223009157,0.26229065223009157,0.26229065223009157,2.1421024323915456e-10,2.1421024323915456e-10,2.1421024323915456e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],configured_diagonal_prior_process,sliding_window_map_not_attempted_single_ue,False,False,,,,0,0,0,0,,,,,,,,,,,,,sliding_window_map_not_attempted_single_ue,[],,,,,,,,,,,,,[],[]
1,8,8,12,False,0.23928421797729885,0.23928421797729885,0.23928421797729885,3.740229093377279e-10,3.740229093377279e-10,3.740229093377279e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],configured_diagonal_prior_process,sliding_window_map_not_attempted_single_ue,False,False,,,,0,0,0,0,,,,,,,,,,,,,sliding_window_map_not_attempted_single_ue,[],,,,,,,,,,,,,[],[]
1,12,12,16,False,0.39234181975549676,0.39234181975549676,0.39234181975549676,6.288413967376565e-10,6.288413967376565e-10,6.288413967376565e-10,1,0,True,noncooperative_clockless_baseline_only,not_attempted_single_ue_baseline,False,,,,,not_attempted,0,0,[],configured_diagonal_prior_process,sliding_window_map_not_attempted_single_ue,False,False,,,,0,0,0,0,,,,,,,,,,,,,sliding_window_map_not_attempted_single_ue,[],,,,,,,,,,,,,[],[]
3,4,18,16,True,0.6725903831549868,0.2131941128459946,0.3151576169073507,5.36918739880879e-10,1.3351889972769755e-10,1.3893616010752704e-10,0,0,True,not_applicable,residual_trust_region,False,101905.38588472719,8.039718678245432,101897.34616604894,0.16666666666666666,converged,2,0,[],configured_diagonal_prior_process,sliding_window_map,False,False,39.647867915593736,10.812186082788255,1.620765814891456e-07,3,3,3,0,,3.0154700707654687,,300218053.56291264,4.598549377097233e-08,0.14501159386265733,0.00038310509510512176,True,True,True,,,sliding_window_full_objective_decrease,"[""measurement_objective"", ""prior_objective"", ""dynamics_objective"", ""total_objective""]",39.647867915593736,10.812199820292623,1.620765814891456e-07,0.0,2.5126226442640075e-18,39.647867915593736,10.812186082788255,0.0,1.3737504367325907e-05,0.0003520976996391065,0.00015098583974781842,3.4706093989731694e-08,[],"[""total_objective_not_decreased""]"
3,8,30,20,True,0.37842726318724695,0.0665267939114088,0.0965307303895113,4.861594860010763e-10,7.54312411036653e-11,7.72910350114867e-11,0,0,True,not_applicable,residual_trust_region,False,1526649.9795700547,10.491429550275116,1526639.4881405043,0.16666666666666666,converged,2,0,[],configured_diagonal_prior_process,sliding_window_map,False,False,140.98176135057878,50.602679663735515,1.436390562048473e-07,3,3,3,0,,3.0314299095089847,,301814565.23735726,4.863204214831243e-09,0.09276728158202117,0.00024944032941006,True,True,True,,,sliding_window_full_objective_decrease,"[""measurement_objective"", ""prior_objective"", ""dynamics_objective"", ""total_objective""]",140.98176135057878,50.60268178038901,1.436390562048473e-07,0.0,1.3430261766595434e-19,140.98176135057878,50.602679663735515,0.0,2.1166535008395912e-06,0.00021249700050349495,0.00013063499804117173,2.2597192250233073e-08,[],"[""total_objective_not_decreased""]"
3,12,42,24,True,0.18327413977887647,0.03459737796458858,0.06430749876719007,4.3203208694265666e-10,3.671044386840676e-11,6.255069004539848e-11,0,0,True,not_applicable,residual_trust_region,False,6627389.634459262,31.167783030140097,6627358.4666762315,0.16666666666666666,converged,2,0,[],configured_diagonal_prior_process,sliding_window_map,False,False,128.20375922053125,51.30478723391145,76.8989714254956,5,1,5,0,,3.0320831557729866,,301879952.7590778,1.2702581613712297e-09,0.0680533336610707,7.024255601884907e-05,True,True,True,,,sliding_window_full_objective_decrease,"[""measurement_objective"", ""prior_objective"", ""dynamics_objective"", ""total_objective""]",128.20375922053125,51.30478779503566,76.8989714254956,0.0,8.764716121456693e-16,128.20375922053125,51.30478723391145,0.0,5.611242071616086e-07,5.661787544581083e-05,4.1574425504915874e-05,6.363383841613893e-09,[],"[""total_objective_not_decreased""]"
5,4,40,24,True,0.6010978789998316,0.12001548861158823,0.17925013080181434,4.6072768206533627e-10,1.9457639692566239e-10,2.428967193651001e-10,0,0,True,not_applicable,residual_trust_region,False,618002.9683383647,28.260399033219464,617974.7079393315,0.16666666666666666,converged,2,0,[],configured_diagonal_prior_process,sliding_window_map,False,False,154.68866997611013,64.27723056972064,3.050322987974141e-06,4,2,4,0,,3.05477245972547,,304148463.7296392,2.6096091609528257e-08,0.11425706396313355,0.0007550609480407371,True,True,True,,,sliding_window_full_objective_decrease,"[""measurement_objective"", ""prior_objective"", ""dynamics_objective"", ""total_objective""]",154.68866997611013,64.27723941544966,3.050322987974141e-06,0.0,1.0408335611023299e-18,154.68866997611013,64.27723056972064,0.0,8.845729010287766e-06,0.0007059031067997196,0.0002679885054749185,5.310372445863275e-08,[],"[""total_objective_not_decreased""]"
5,8,60,28,True,0.3991512358932234,0.0422391319935556,0.021703851419712775,3.9709866759607513e-10,2.25199897086867e-10,2.2554635483154607e-10,0,0,True,not_applicable,residual_trust_region,False,2392353.781138681,23.482585347157617,2392330.2985533336,0.16666666666666666,converged,2,0,[],configured_diagonal_prior_process,sliding_window_map,False,False,219.1059186554397,91.51526363799746,127.5906527636665,5,1,5,0,,3.0177988290530946,,300451474.17153084,1.063260061243371e-09,0.07814535618651203,0.00016784431111968595,True,True,True,,,sliding_window_full_objective_decrease,"[""measurement_objective"", ""prior_objective"", ""dynamics_objective"", ""total_objective""]",219.1059186554397,91.5152658917732,127.5906527636665,0.0,1.3756310904941072e-13,219.1059186554397,91.51526363799746,0.0,2.253775591839551e-06,0.00015774872027663584,5.733283549874042e-05,1.180455445335443e-08,[],"[""total_objective_not_decreased""]"
5,12,80,32,True,0.166693903756653,0.03353350849047848,0.007960414006900689,3.9117567920145636e-10,9.914760058221162e-11,9.893295852838404e-11,0,0,True,not_applicable,residual_trust_region,False,8290260.162601777,41.88403135743299,8290218.27857042,0.16666666666666666,converged,2,0,[],configured_diagonal_prior_process,sliding_window_map,False,False,271.29507948120744,145.8571123680374,125.43796570665486,5,1,5,0,,3.071467960750482,,305818380.606428,4.4935333123934197e-10,0.06081936020894479,8.98943690748174e-05,True,True,True,,,sliding_window_full_objective_decrease,"[""measurement_objective"", ""prior_objective"", ""dynamics_objective"", ""total_objective""]",271.29507948120744,145.85711377455257,125.43796570665486,0.0,6.964931369181563e-14,271.29507948120744,145.8571123680374,0.0,1.4065151097217372e-06,7.60314415851103e-05,4.7960582584550075e-05,6.322305258242365e-09,[],"[""total_objective_not_decreased""]"
7,4,70,32,True,0.3909554581612815,0.1981577479229557,0.036803539798125014,5.144381021217693e-10,2.4366630869840003e-10,2.4366653995397013e-10,0,0,True,not_applicable,residual_trust_region,False,393983.7321901565,48.05759784036683,393935.6745923161,0.16666666666666666,converged,2,0,[],configured_diagonal_prior_process,sliding_window_map,False,False,240.2439066076907,122.45990087492575,8.775211881584255e-07,2,4,2,0,,3.0359168409787665,,302262989.4245014,6.747451966588353e-09,0.09292133467022629,0.000661042526271661,True,True,True,,,sliding_window_full_objective_decrease,"[""measurement_objective"", ""prior_objective"", ""dynamics_objective"", ""total_objective""]",240.2439066076907,122.45990639884775,8.775211881584255e-07,0.0,6.050501357984283e-19,240.2439066076907,122.45990087492575,0.0,5.523922000574712e-06,0.0006537280059506888,9.806587467287335e-05,3.915408801938824e-08,[],"[""total_objective_not_decreased""]"
