case_id,clock_std_seconds,failure_count,failure_reason,fallback_count,initialization_failure_reason,initialization_localization_error_m,initialization_stage_success,initialization_synchronization_error_ns,lm_acceptance_mode,map_covariance_mode,map_update_mode,metric_version,num_satellites,num_users,pipeline,prior_mode,prior_radius_m,row_type,seed,sparse_row_type,stage_a_version,stage_b_residual_cost_after,stage_b_residual_cost_before,stage_b_version,stage_c_version,step_a_failure_reason,step_a_localization_error_m,step_a_stage_success,step_a_synchronization_error_ns,step_b_failure_reason,step_b_localization_error_m,step_b_stage_success,step_b_synchronization_error_ns,step_c_failure_reason,step_c_localization_error_m,step_c_stage_success,step_c_synchronization_error_ns,system_model_version,truth_use_blocker,truth_used_for_covariance,truth_used_for_fallback_or_reversion,truth_used_for_initialization,truth_used_for_lm_acceptance,truth_used_for_offline_metrics,truth_used_for_prior_construction,truth_used_for_step_c_acceptance,units_version
sparse_network_nu3_ns4_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,4,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,0.42394658749393116,1136493101120.7727,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,2231.067353862037,True,1230.5341433261533,,0.5432454247999439,True,487.97857251201725,,0.26604658534235104,True,487.97856760848526,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu3_ns8_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,8,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,3.2088802021543548,24581333024336.44,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,516.9996063237442,True,1171.9597623860936,,0.21651506327503933,True,271.1427917078222,,0.2254535826165346,True,271.1427877132463,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu3_ns10_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,7.776311448438621,27101043023189.965,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,566.249140452735,True,1253.462631089372,,0.0744502771727543,True,491.1531460309657,,0.03623739136921989,True,491.15314406554756,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu3_ns12_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,12,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,28.729198809301145,34403489939283.535,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,393.55572278996016,True,1271.2411881909197,,0.07104682455588111,True,611.5800384239823,,0.07044908656938442,True,611.5800412805148,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu3_ns14_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,14,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,22.094165961717675,40148599551831.516,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,343.3652822845157,True,1284.7004977069134,,0.07044727433460182,True,599.2341248143506,,0.023240793584816788,True,599.2341223879935,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu5_ns4_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,4,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,19.07322146820097,1618233105828.6055,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,2323.909495291837,True,1413.5766880704996,,0.21369028275377722,True,835.0981169886911,,0.35930602416376356,True,835.0981117126782,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu5_ns8_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,8,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,32.876592583912085,39666245579393.914,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,642.7945775863212,True,1307.6929673537275,,0.09177634785132273,True,542.7158958741919,,0.06265544167425001,True,542.7158922176211,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu5_ns10_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,38.315863480802086,43550441465535.914,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,666.9507097841092,True,1360.2310262342178,,0.046828912447477784,True,697.429112712631,,0.05319291244785521,True,697.4291054035202,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu5_ns12_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,12,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,44.014299024791455,54544247328117.09,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,475.89217503542613,True,1363.3570007185422,,0.011249099634864751,True,781.1141850016567,,0.03401535723001461,True,781.1141878983768,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu5_ns14_clock1us_seed0,1e-06,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,14,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,42.7942003125116,64407590495823.07,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,460.1586735589137,True,1365.7031394931032,,0.031856948491772674,True,752.0934395494497,,0.055692033147699195,True,752.0934369805901,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
