case_id,clock_std_seconds,cooperation_mode,failure_count,failure_reason,fallback_count,initialization_failure_reason,initialization_localization_error_m,initialization_stage_success,initialization_status,initialization_synchronization_error_ns,lm_acceptance_mode,map_covariance_mode,map_update_mode,metric_version,num_satellites,num_users,pipeline,prior_mode,prior_radius_m,row_type,seed,sparse_row_type,stage_a_version,stage_b_residual_cost_after,stage_b_residual_cost_before,stage_b_version,stage_c_version,step_a_failure_reason,step_a_localization_error_m,step_a_stage_success,step_a_status,step_a_synchronization_error_ns,step_b_failure_reason,step_b_localization_error_m,step_b_stage_success,step_b_status,step_b_synchronization_error_ns,step_c_failure_reason,step_c_localization_error_m,step_c_stage_success,step_c_status,step_c_synchronization_error_ns,system_model_version,truth_use_blocker,truth_used_for_covariance,truth_used_for_fallback_or_reversion,truth_used_for_initialization,truth_used_for_lm_acceptance,truth_used_for_offline_metrics,truth_used_for_prior_construction,truth_used_for_step_c_acceptance,units_version
sparse_noncoop_nu1_ns4_clock1us_seed0,1e-06,without_cooperation,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65555.7946403686,True,passed,,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,legacy_all_clock_metric_pending_v24_reference_relative_recompute,4,1,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size_noncooperative_baseline,A0_prior_region_il,,266912560132.1504,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,2330.2159607703893,True,passed,1446.9687621620217,single_ue_no_cooperation,,False,not_applicable,,single_ue_no_cooperation,,False,not_applicable,,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_noncoop_nu1_ns8_clock1us_seed0,1e-06,without_cooperation,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65555.7946403686,True,passed,,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,legacy_all_clock_metric_pending_v24_reference_relative_recompute,8,1,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size_noncooperative_baseline,A0_prior_region_il,,8168026723878.077,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,738.5628484267227,True,passed,1279.1846881971187,single_ue_no_cooperation,,False,not_applicable,,single_ue_no_cooperation,,False,not_applicable,,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_noncoop_nu1_ns10_clock1us_seed0,1e-06,without_cooperation,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65555.7946403686,True,passed,,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,1,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size_noncooperative_baseline,A0_prior_region_il,,8927165030347.557,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,798.0728221042125,True,passed,1356.0108192444432,single_ue_no_cooperation,,False,not_applicable,,single_ue_no_cooperation,,False,not_applicable,,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_noncoop_nu1_ns12_clock1us_seed0,1e-06,without_cooperation,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65555.7946403686,True,passed,,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,legacy_all_clock_metric_pending_v24_reference_relative_recompute,12,1,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size_noncooperative_baseline,A0_prior_region_il,,11106621026151.398,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,526.9632902077967,True,passed,1360.7478946454482,single_ue_no_cooperation,,False,not_applicable,,single_ue_no_cooperation,,False,not_applicable,,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_noncoop_nu1_ns14_clock1us_seed0,1e-06,without_cooperation,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65555.7946403686,True,passed,,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,not_applicable_single_ue_no_cooperation,legacy_all_clock_metric_pending_v24_reference_relative_recompute,14,1,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size_noncooperative_baseline,A0_prior_region_il,,13157749083277.86,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,533.1781931168506,True,passed,1364.0675512363043,single_ue_no_cooperation,,False,not_applicable,,single_ue_no_cooperation,,False,not_applicable,,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu3_ns4_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,4,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,0.42394658749393116,1136493101120.7727,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,2231.067353862037,True,passed,1230.5341433261533,,0.5432454247999439,True,passed,487.97857251201725,,0.26604658534235104,True,passed,487.97856760848526,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu3_ns8_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,8,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,3.2088802021543548,24581333024336.44,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,516.9996063237442,True,passed,1171.9597623860936,,0.21651506327503933,True,passed,271.1427917078222,,0.2254535826165346,True,passed,271.1427877132463,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu3_ns10_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,7.776311448438621,27101043023189.965,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,566.249140452735,True,passed,1253.462631089372,,0.0744502771727543,True,passed,491.1531460309657,,0.03623739136921989,True,passed,491.15314406554756,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu3_ns12_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,12,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,28.729198809301145,34403489939283.535,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,393.55572278996016,True,passed,1271.2411881909197,,0.07104682455588111,True,passed,611.5800384239823,,0.07044908656938442,True,passed,611.5800412805148,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu3_ns14_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,14,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,22.094165961717675,40148599551831.516,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,343.3652822845157,True,passed,1284.7004977069134,,0.07044727433460182,True,passed,599.2341248143506,,0.023240793584816788,True,passed,599.2341223879935,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
