accepted_update_count,block_diagonal_covariance,both_improved,cache_key,cache_status,clock_ceiling_km2,clock_clip_scale,clock_clipped,clock_drift_update_norm,clock_floor_km2,clock_only,clock_update_scale,common_clock_damping,common_clock_update_component,covariance_mode,covariance_rank,covariance_source,damping_lambda,description,drift_ceiling_km2_per_s2,drift_clip_scale,drift_clipped,drift_floor_km2_per_s2,drift_update_scale,drift_variance_km2_per_s2,dynamics_cost,finite_output,floors_ceilings_applied,full_ladder_run,grid,include_drift_state,information_rank,lane,manuscript_ready,max_clock_update_km,max_drift_update_km_per_s,max_position_update_km,measurement_sigma_km,medium_validation,name,network_size_graph,normal_condition,normal_rank,not_for_manuscript_submission,nullspace_update_norm,nullspace_update_ratio,num_satellites,num_users,objective_after,objective_before,objective_decreased,p_clock_eig_max,p_clock_eig_min,p_clock_trace,p_drift_eig_max,p_drift_eig_min,p_drift_trace,p_position_eig_max,p_position_eig_min,p_position_trace,position_ceiling_km2,position_clip_scale,position_clipped,position_floor_km2,position_hurt_but_sync_helped,position_improved,position_only,position_ratio,position_update_norm,position_update_scale,position_variance_km2,prior_cost,project_common_clock,q_clock_scale,q_drift_scale,q_position_scale,raw_common_clock_update_component,rejected_update_count,residual_cost_after,residual_cost_before,residual_scaled,runtime_seconds,satellite_clock_update_norm,satellite_clock_variance_km2,schur_mode,schur_nuisance_dimension,schur_reduced_dimension,schur_reduced_rank,step3_position_error_m,step3_sync_error_km,step3_sync_error_s,step_b_position_error_m,step_b_sync_error_km,step_b_sync_error_s,sync_hurt_but_position_helped,sync_improved,sync_ratio,truth_state_used_for_acceptance,truth_state_used_for_covariance,truth_state_used_for_diagnostics,ue_clock_update_norm,ue_clock_variance_km2,variant,variant_description
1,False,False,336e0e2f26912ab4,not_used_deterministic_sparse,0.0004,1.0,False,0.00027530525710140104,4e-08,False,1.0,1.0,4.0392496916560534e-05,lm_full,26,lm_curvature_diagonal_clipped,1e-05,Full damped LM curvature covariance.,0.0001,1.0,False,2.5e-09,1.0,1.4399999999999998e-06,0.0,True,True,False,sparse,True,26,lm_curvature,False,,,,0.00025,False,full_lm_covariance,False,18003.228807965916,26,True,0.0,0.0,8,3,2.909724241965815,4704.37678229791,True,5.209783434459141e-05,6.004333869724249e-06,0.00023504148269032867,8.333333333305112e-08,4.761904761882961e-08,7.261904761878453e-07,1.28577751844595e-05,1.0067557587167233e-05,6.877644518627622e-05,1.0,1.0,False,4e-06,False,True,False,0.30109754313910675,0.003491389419602453,1.0,0.04000000000000001,2.164463749033044,False,0.0,0.0,0.0,4.0392496916560534e-05,0,0.7452604929327711,4704.37678229791,False,0.0,0.0011380227632803754,6.25e-06,none,0,0,0,0.7182552898280823,0.00041022890398111485,1.3683763318059017e-09,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,True,False,1.8794262506653694,False,False,True,0.00042383030615639796,6.25e-06,full_lm_covariance,Full damped LM curvature covariance.
1,True,False,7115792eb4ac4949,not_used_deterministic_sparse,0.0004,1.0,False,0.00027530525710140104,4e-08,False,1.0,1.0,4.0392496916560534e-05,lm_full,26,lm_curvature_block_diagonal_diagonal_clipped,1e-05,Block-diagonalized LM curvature covariance.,0.0001,1.0,False,2.5e-09,1.0,1.4399999999999998e-06,0.0,True,True,False,sparse,True,26,lm_curvature,False,,,,0.00025,False,block_diag_lm_covariance,False,18003.228807965916,26,True,0.0,0.0,8,3,2.909724241965815,4704.37678229791,True,5.209783434459141e-05,6.004333869724249e-06,0.00023504148269032867,8.333333333305112e-08,4.761904761882961e-08,7.261904761878453e-07,1.28577751844595e-05,1.0067557587167233e-05,6.877644518627622e-05,1.0,1.0,False,4e-06,False,True,False,0.30109754313910675,0.003491389419602453,1.0,0.04000000000000001,2.164463749033044,False,0.0,0.0,0.0,4.0392496916560534e-05,0,0.7452604929327711,4704.37678229791,False,0.015000000013969839,0.0011380227632803754,6.25e-06,none,0,0,0,0.7182552898280823,0.00041022890398111485,1.3683763318059017e-09,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,True,False,1.8794262506653694,False,False,True,0.00042383030615639796,6.25e-06,block_diag_lm_covariance,Block-diagonalized LM curvature covariance.
1,True,True,a0c1cc08b3b1281c,not_used_deterministic_sparse,0.0004,1.0,False,0.00027629456500232597,2.5e-07,False,1.0,1.0,3.1768275005287075e-05,lm_full,26,lm_curvature_block_diagonal_diagonal_clipped,1e-05,LM curvature covariance with block floors/ceilings.,0.0001,1.0,False,2.5e-09,1.0,1.4399999999999998e-06,0.0,True,True,False,sparse,True,26,lm_curvature,False,,,,0.00025,False,lm_covariance_floors_ceilings,False,23572.756646440634,26,True,0.0,0.0,8,3,1.9303570198315576,4704.37678229791,True,5.209783434459141e-05,6.004333869724249e-06,0.00023504148269032867,8.333333333305112e-08,4.761904761882961e-08,7.261904761878453e-07,0.0001,0.0001,0.0006000000000000001,1.0,1.0,False,0.0001,False,True,False,0.0989834983435748,0.0038922838028079957,1.0,0.04000000000000001,1.2384134352606229,False,0.0,0.0,0.0,3.1768275005287075e-05,0,0.6919435845709347,4704.37678229791,False,0.01600000000325963,0.0003762856232521758,6.25e-06,none,0,0,0,0.2361208947431225,0.00014673264361063178,4.89447415020133e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.672242203206732,False,False,True,0.0003241166734228798,6.25e-06,lm_covariance_floors_ceilings,LM curvature covariance with block floors/ceilings.
1,False,True,046ccae8294d3b8d,not_used_deterministic_sparse,0.0004,1.0,False,0.0005391732447927057,4e-08,False,1.0,1.0,2.7262417516563543e-05,lm_full,26,residual_scaled_lm_curvature_diagonal_clipped,1e-05,Residual-scaled damped curvature covariance.,0.0001,1.0,False,2.5e-09,1.0,1.4399999999999998e-06,0.0,True,True,False,sparse,True,26,residual_scaled_lm,False,,,,0.00025,False,full_residual_scaled_covariance,False,132507.1832552364,26,True,0.0,0.0,8,3,0.07979973159538643,4704.37678229791,True,0.0004,0.0004,0.004,6.125490601929659e-06,3.500280343955634e-06,5.337927524537441e-05,0.0009451221726527734,0.0007400247526174483,0.005055473623489105,1.0,1.0,False,4e-06,False,True,False,0.028598081876483224,0.0040652831636640374,1.0,0.04000000000000001,0.07472364048436779,False,0.0,0.0,0.0,2.7262417516563543e-05,0,0.005076091111018639,4704.37678229791,True,0.01600000000325963,0.0003652275226487914,6.25e-06,none,0,0,0,0.0682194991449362,4.818704488791521e-05,1.6073468028310175e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.220764544442016,False,False,True,0.0003262509341297699,6.25e-06,full_residual_scaled_covariance,Residual-scaled damped curvature covariance.
1,True,True,84078cb36acfdb78,not_used_deterministic_sparse,0.0004,1.0,False,0.0005391732447927057,4e-08,False,1.0,1.0,2.7262417516563543e-05,lm_full,26,residual_scaled_lm_curvature_block_diagonal_diagonal_clipped,1e-05,Block-diagonal residual-scaled curvature covariance.,0.0001,1.0,False,2.5e-09,1.0,1.4399999999999998e-06,0.0,True,True,False,sparse,True,26,residual_scaled_lm,False,,,,0.00025,False,block_diag_residual_scaled_covariance,False,132507.1832552364,26,True,0.0,0.0,8,3,0.07979973159538643,4704.37678229791,True,0.0004,0.0004,0.004,6.125490601929659e-06,3.500280343955634e-06,5.337927524537441e-05,0.0009451221726527734,0.0007400247526174483,0.005055473623489105,1.0,1.0,False,4e-06,False,True,False,0.028598081876483224,0.0040652831636640374,1.0,0.04000000000000001,0.07472364048436779,False,0.0,0.0,0.0,2.7262417516563543e-05,0,0.005076091111018639,4704.37678229791,True,0.0,0.0003652275226487914,6.25e-06,none,0,0,0,0.0682194991449362,4.818704488791521e-05,1.6073468028310175e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.220764544442016,False,False,True,0.0003262509341297699,6.25e-06,block_diag_residual_scaled_covariance,Block-diagonal residual-scaled curvature covariance.
1,True,True,e3a920832631db27,not_used_deterministic_sparse,0.0004,1.0,False,0.0005391732447927057,2.5e-07,False,1.0,1.0,2.7262417516563543e-05,lm_full,26,residual_scaled_lm_curvature_block_diagonal_diagonal_clipped,1e-05,Residual-scaled covariance with block floors/ceilings.,0.0001,1.0,False,2.5e-09,1.0,1.4399999999999998e-06,0.0,True,True,False,sparse,True,26,residual_scaled_lm,False,,,,0.00025,False,residual_scaled_floors_ceilings,False,132507.1832552364,26,True,0.0,0.0,8,3,0.07979973159538643,4704.37678229791,True,0.0004,0.0004,0.004,6.125490601929659e-06,3.500280343955634e-06,5.337927524537441e-05,0.0009451221726527734,0.0007400247526174483,0.005055473623489105,1.0,1.0,False,0.0001,False,True,False,0.028598081876483224,0.0040652831636640374,1.0,0.04000000000000001,0.07472364048436779,False,0.0,0.0,0.0,2.7262417516563543e-05,0,0.005076091111018639,4704.37678229791,True,0.015000000013969839,0.0003652275226487914,6.25e-06,none,0,0,0,0.0682194991449362,4.818704488791521e-05,1.6073468028310175e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.220764544442016,False,False,True,0.0003262509341297699,6.25e-06,residual_scaled_floors_ceilings,Residual-scaled covariance with block floors/ceilings.
0,False,False,a2080f8aa810b9fe,not_used_deterministic_sparse,0.0004,1.0,False,0.0004902659079728183,4e-08,True,1.0,1.0,1.908674294764299e-05,block_scaled,26,typed_block_scaled,1e-06,Freeze positions and update clocks/drifts only.,0.0001,1.0,False,2.5e-09,1.0,1.4399999999999998e-06,0.0,True,True,False,sparse,True,26,position_freeze_damping,False,,,,0.00025,False,freeze_positions_clock_drift,False,8176.0292360675785,26,True,0.0,0.0,8,3,4756.8599684862975,4704.37678229791,False,6.25e-06,6.25e-06,6.25e-05,1.4399999999999998e-06,1.4399999999999998e-06,1.4399999999999998e-05,0.04000000000000001,0.04000000000000001,0.24000000000000005,1.0,1.0,False,4e-06,False,False,False,1.0,0.0,1.0,0.04000000000000001,0.19793367511328194,False,0.0,0.0,0.0,1.908674294764299e-05,1,4756.662034811185,4704.37678229791,False,0.01600000000325963,0.0002036477637545658,6.25e-06,none,0,0,0,2.3854571589654223,0.00010463447067098656,3.490230253590521e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.4793732693993227,False,False,True,0.0003903601212560583,6.25e-06,freeze_positions_clock_drift,Freeze positions and update clocks/drifts only.
1,False,True,10c029920214504c,not_used_deterministic_sparse,0.0004,1.0,False,0.0004902659079728183,4e-08,False,1.0,1.0,1.908674294764299e-05,block_scaled,26,typed_block_scaled,1e-06,Damp position update by 0.25.,0.0001,1.0,False,2.5e-09,1.0,1.4399999999999998e-06,0.0,True,True,False,sparse,True,26,position_freeze_damping,False,,,,0.00025,False,position_update_damped_025,False,8176.0292360675785,26,True,0.0,0.0,8,3,2675.8881900788315,4704.37678229791,True,6.25e-06,6.25e-06,6.25e-05,1.4399999999999998e-06,1.4399999999999998e-06,1.4399999999999998e-05,0.04000000000000001,0.04000000000000001,0.24000000000000005,1.0,1.0,False,4e-06,False,True,False,0.7579896381451617,0.0010033164704250726,0.25,0.04000000000000001,0.19795884121177762,False,0.0,0.0,0.0,1.908674294764299e-05,0,2675.6902312376196,4704.37678229791,False,0.014999999955762178,0.0002036477637545658,6.25e-06,none,0,0,0,1.808151808734986,0.00010463447067098656,3.490230253590521e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.4793732693993227,False,False,True,0.0003903601212560583,6.25e-06,position_update_damped_025,Damp position update by 0.25.
1,False,True,c66f9cdab02209ca,not_used_deterministic_sparse,0.0004,1.0,False,0.0004902659079728183,4e-08,False,1.0,1.0,1.908674294764299e-05,block_scaled,26,typed_block_scaled,1e-06,Clip position updates.,0.0001,1.0,False,2.5e-09,1.0,1.4399999999999998e-06,0.0,True,True,False,sparse,True,26,position_freeze_damping,False,,,0.004,0.00025,False,position_update_clipped,False,8176.0292360675785,26,True,0.0,0.0,8,3,0.28179008144146633,4704.37678229791,True,6.25e-06,6.25e-06,6.25e-05,1.4399999999999998e-06,1.4399999999999998e-06,1.4399999999999998e-05,0.04000000000000001,0.04000000000000001,0.24000000000000005,1.0,0.9966944921938066,True,4e-06,False,True,False,0.055996361288325455,0.003999999999999999,1.0,0.04000000000000001,0.19833367511328195,False,0.0,0.0,0.0,1.908674294764299e-05,0,0.0834564063281844,4704.37678229791,False,0.01600000000325963,0.0002036477637545658,6.25e-06,none,0,0,0,0.1335769209112502,0.00010463447067098656,3.490230253590521e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.4793732693993227,False,False,True,0.0003903601212560583,6.25e-06,position_update_clipped,Clip position updates.
1,False,True,a26a50253bbd4dca,not_used_deterministic_sparse,0.0004,1.0,False,0.0005491432113129688,4e-08,False,1.0,1.0,1.0750725602287809e-05,block_scaled,26,typed_block_scaled,1e-06,Damp position and use looser clock prior.,0.0001,1.0,False,2.5e-09,1.0,9e-06,0.0,True,True,False,sparse,True,26,position_freeze_damping,False,,,,0.00025,False,position_damped_clock_loose,False,31555.408122879766,26,True,0.0,0.0,8,3,2714.695840886085,4704.37678229791,True,3.6e-05,3.6e-05,0.00036,9e-06,9e-06,9e-05,0.04000000000000001,0.04000000000000001,0.24000000000000005,1.0,1.0,False,4e-06,False,True,False,0.7550564154992023,0.001014498144376418,0.25,0.04000000000000001,0.03938283781655416,False,0.0,0.0,0.0,1.0750725602287809e-05,0,2714.6564580482686,4704.37678229791,False,0.01600000000325963,0.0002587478731170318,3.6e-05,none,0,0,0,1.8011547317753427,7.668535242380952e-05,2.5579480196199443e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.3513269372005725,False,False,True,0.00037904135340676695,3.6e-05,position_damped_clock_loose,Damp position and use looser clock prior.
