arrays_npz,bounds_reportability_status_raw,cache_status,candidate_diagnostic,clock_sigma_ns,clock_sigma_seconds,clock_subspace_estimable,condition_number,convergence_boolean,covariance_method,crlb_clock_ns,crlb_full_rank,crlb_position_m,crlb_status,elapsed_time_s,failure_reason,failure_recorded,fim_rank,fim_saved,graph_average_degree,graph_connected_components,human_signoff_required,jcls_applicable,log10_condition_number,manuscript_ready,measurement_vector_saved,non_final,not_for_manuscript_submission,num_satellites,num_users,product,random_seed,rank_deficiency,row_id,runtime_seconds,satellite_geometry_id,scenario_metadata,single_ue_baseline_only,sl_edge_probability,stage_a_position_by_ue_m,stage_a_position_rmse_m,stage_a_status,stage_a_success,stage_b_position_by_ue_m,stage_b_position_rmse_m,stage_b_status,stage_b_success,stage_b_sync_error_km,stage_b_sync_error_ns,stage_c_position_by_ue_m,stage_c_position_rmse_m,stage_c_status,stage_c_success,stage_c_sync_error_km,stage_c_sync_error_ns,stage_c_used,state_dimension,trial_id,ue_position_subspace_estimable,ue_positions_saved
outputs/wave_results/observability/cache/observability_nu1_ns1_p1p0_c7e-06_t0.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,6.767533687390832e+16,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,1,True,0.0,1,True,False,16.830430426276536,False,True,True,True,1,1,observability,101031,3,observability_nu1_ns1_p1p0_c7e-06_t0,0.032000000000152795,seed101031_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00017243732175217593, 'dl_range_sigma_km_min': 0.00017243732175217593, 'dl_range_sigma_m_max': 0.17243732175217594, 'dl_range_sigma_m_min': 0.17243732175217594, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00017243732175217593, 'range_sigma_km_min': 0.00017243732175217593, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.80929144357907, 'snr_db_min': 19.80929144357907}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,49989.08812937439,49989.08812937439,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,4,0,True,True
outputs/wave_results/observability/cache/observability_nu1_ns1_p1p0_c7e-06_t1.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,3.3335823732623245e+17,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,1,True,0.0,1,True,False,17.52291119106839,False,True,True,True,1,1,observability,101032,3,observability_nu1_ns1_p1p0_c7e-06_t1,0.047000000000025466,seed101032_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.0001724475055298833, 'dl_range_sigma_km_min': 0.0001724475055298833, 'dl_range_sigma_m_max': 0.1724475055298833, 'dl_range_sigma_m_min': 0.1724475055298833, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.0001724475055298833, 'range_sigma_km_min': 0.0001724475055298833, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.808778488747237, 'snr_db_min': 19.808778488747237}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,68881.28504675468,68881.28504675468,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,4,1,True,True
outputs/wave_results/observability/cache/observability_nu1_ns1_p1p0_c7e-06_t2.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,9.296620043816154e+16,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,1,True,0.0,1,True,False,16.96832508155096,False,True,True,True,1,1,observability,101033,3,observability_nu1_ns1_p1p0_c7e-06_t2,0.0,seed101033_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00017245930705623382, 'dl_range_sigma_km_min': 0.00017245930705623382, 'dl_range_sigma_m_max': 0.17245930705623383, 'dl_range_sigma_m_min': 0.17245930705623383, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00017245930705623382, 'range_sigma_km_min': 0.00017245930705623382, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.80818408613331, 'snr_db_min': 19.80818408613331}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,75525.41241407313,75525.41241407313,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,4,2,True,True
outputs/wave_results/observability/cache/observability_nu1_ns1_p1p0_c7e-06_t3.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,1.362256528898319e+17,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,1,True,0.0,1,True,False,17.134258898027948,False,True,True,True,1,1,observability,101034,3,observability_nu1_ns1_p1p0_c7e-06_t3,0.016000000000076398,seed101034_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00017243212577654, 'dl_range_sigma_km_min': 0.00017243212577654, 'dl_range_sigma_m_max': 0.17243212577654002, 'dl_range_sigma_m_min': 0.17243212577654002, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00017243212577654, 'range_sigma_km_min': 0.00017243212577654, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.80955317549683, 'snr_db_min': 19.80955317549683}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,81301.77847206447,81301.77847206447,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,4,3,True,True
outputs/wave_results/observability/cache/observability_nu1_ns1_p1p0_c7e-06_t4.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,9.030012353124886e+16,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,1,True,0.0,1,True,False,16.955688344432033,False,True,True,True,1,1,observability,101035,3,observability_nu1_ns1_p1p0_c7e-06_t4,0.0,seed101035_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00017341809681132255, 'dl_range_sigma_km_min': 0.00017341809681132255, 'dl_range_sigma_m_max': 0.17341809681132256, 'dl_range_sigma_m_min': 0.17341809681132256, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00017341809681132255, 'range_sigma_km_min': 0.00017341809681132255, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.76002850709196, 'snr_db_min': 19.76002850709196}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,82013.66596466412,82013.66596466412,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,4,4,True,True
outputs/wave_results/observability/cache/observability_nu1_ns2_p1p0_c7e-06_t0.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,1.8578965509794557e+17,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,2,True,0.0,1,True,False,17.269021528500705,False,True,True,True,2,1,observability,101062,3,observability_nu1_ns2_p1p0_c7e-06_t0,0.016000000000076398,seed101062_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.0001746462199991691, 'dl_range_sigma_km_min': 0.0001724354731257181, 'dl_range_sigma_m_max': 0.1746462199991691, 'dl_range_sigma_m_min': 0.1724354731257181, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.0001746462199991691, 'range_sigma_km_min': 0.0001724354731257181, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.809384561770088, 'snr_db_min': 19.69873301527781}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,67695.63869784714,67695.63869784714,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,5,0,True,True
outputs/wave_results/observability/cache/observability_nu1_ns2_p1p0_c7e-06_t1.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,5.91473763871361e+16,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,2,True,0.0,1,True,False,16.77193548529768,False,True,True,True,2,1,observability,101063,3,observability_nu1_ns2_p1p0_c7e-06_t1,0.0,seed101063_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00017465744110187838, 'dl_range_sigma_km_min': 0.00017242289077577298, 'dl_range_sigma_m_max': 0.17465744110187836, 'dl_range_sigma_m_min': 0.17242289077577297, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00017465744110187838, 'range_sigma_km_min': 0.00017242289077577298, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.810018380836112, 'snr_db_min': 19.698174960664375}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,53487.12707015394,53487.12707015394,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,5,1,True,True
outputs/wave_results/observability/cache/observability_nu1_ns2_p1p0_c7e-06_t2.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,1.6758144924431958e+17,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,2,True,0.0,1,True,False,17.22422594187943,False,True,True,True,2,1,observability,101064,3,observability_nu1_ns2_p1p0_c7e-06_t2,0.0,seed101064_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00017342021779172582, 'dl_range_sigma_km_min': 0.00017244581006663573, 'dl_range_sigma_m_max': 0.1734202177917258, 'dl_range_sigma_m_min': 0.17244581006663573, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00017342021779172582, 'range_sigma_km_min': 0.00017244581006663573, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.808863886787663, 'snr_db_min': 19.75992227545069}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,12505.297668447765,12505.297668447765,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,5,2,True,True
outputs/wave_results/observability/cache/observability_nu1_ns2_p1p0_c7e-06_t3.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,3.921659585971197e+17,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,2,True,0.0,1,True,False,17.593469892658995,False,True,True,True,2,1,observability,101065,3,observability_nu1_ns2_p1p0_c7e-06_t3,0.01499999999987267,seed101065_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00017462640192625112, 'dl_range_sigma_km_min': 0.0001724351582178371, 'dl_range_sigma_m_max': 0.17462640192625112, 'dl_range_sigma_m_min': 0.17243515821783711, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00017462640192625112, 'range_sigma_km_min': 0.0001724351582178371, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.80940042426954, 'snr_db_min': 19.699718707161935}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,80501.65024837747,80501.65024837747,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,5,3,True,True
outputs/wave_results/observability/cache/observability_nu1_ns2_p1p0_c7e-06_t4.npz,finite_crlb,hit,True,7499.999999999999,7.499999999999999e-06,True,5.459035351531043e+17,False,,,False,,rank_deficient_diagnostic,,single_ue_baseline_only,False,2,True,0.0,1,True,False,17.737115906712106,False,True,True,True,2,1,observability,101066,3,observability_nu1_ns2_p1p0_c7e-06_t4,0.0,seed101066_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00017341141836468336, 'dl_range_sigma_km_min': 0.00017244560366373352, 'dl_range_sigma_m_max': 0.17341141836468335, 'dl_range_sigma_m_min': 0.17244560366373352, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00017341141836468336, 'range_sigma_km_min': 0.00017244560366373352, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': None, 'sl_range_sigma_km_min': None, 'sl_range_sigma_m_max': None, 'sl_range_sigma_m_min': None, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.808874283061726, 'snr_db_min': 19.760363012939536}, 'sl_graph': {'average_degree': 0.0, 'connected_component_count': 1, 'connected_components': [[1]], 'directed_sl_measurement_count': 0, 'graph_connected': True, 'possible_undirected_edges': 0, 'sl_edge_probability': 1.0, 'undirected_edge_count': 0}, 'sl_undirected_edges': []}",True,1.0,63831.24636161645,63831.24636161645,failed_or_rank_deficient,False,,,not_applicable,False,,,,,not_run,False,,,False,5,4,True,True
