threshold_m,num_users,stage_a_min_satellites,stage_b_min_satellites,stage_c_min_satellites,stage_b_satellites_saved_vs_stage_a,stage_c_satellites_saved_vs_stage_a,single_ue_baseline_only
10.0,1,,,,,,True
10.0,2,,,,,,False
10.0,3,,,,,,False
10.0,4,,,,,,False
10.0,5,,,,,,False
1.0,1,,,,,,True
1.0,2,,,,,,False
1.0,3,,,,,,False
1.0,4,,,,,,False
1.0,5,,,,,,False
0.2,1,,,,,,True
0.2,2,,,,,,False
0.2,3,,,,,,False
0.2,4,,,,,,False
0.2,5,,,,,,False
0.1,1,,,,,,True
0.1,2,,,,,,False
0.1,3,,,,,,False
0.1,4,,,,,,False
0.1,5,,,,,,False
