row_id,figure_family,legacy_figure_hint,metric_name,metric_unit,source_case_id,num_users,num_satellites,link_pattern,measurement_count,parameter_dim,unknown_count,fim_rank,fim_nullity,crlb_status,manuscript_crlb_status,plot_value_status,status_code,finite_mask,unavailable_mask,rank_deficient_mask,finite_bound_value,finite_bound_unit,average_ue_peb_km_finite_only,average_clock_bound_s_finite_only,unavailable_reason
localization_crlb::rank_grid_nu2_ns2_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu2_ns2_all_dl_all_directed_sl,2,2,all_dl_all_directed_sl,6,9,9,6,3,rank_deficient_diagnostic,undefined_rank_deficient,unavailable_rank_deficient,0,False,True,True,,,,,rank_deficient_diagnostic
localization_crlb::rank_grid_nu2_ns3_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu2_ns3_all_dl_all_directed_sl,2,3,all_dl_all_directed_sl,8,10,10,8,2,rank_deficient_diagnostic,undefined_rank_deficient,unavailable_rank_deficient,0,False,True,True,,,,,rank_deficient_diagnostic
localization_crlb::rank_grid_nu2_ns4_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu2_ns4_all_dl_all_directed_sl,2,4,all_dl_all_directed_sl,10,11,11,10,1,rank_deficient_diagnostic,undefined_rank_deficient,unavailable_rank_deficient,0,False,True,True,,,,,rank_deficient_diagnostic
localization_crlb::rank_grid_nu2_ns5_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu2_ns5_all_dl_all_directed_sl,2,5,all_dl_all_directed_sl,12,12,12,12,0,finite_crlb,finite_full_rank,finite,1,True,False,False,12.053337067610848,km,12.053337067610848,,
localization_crlb::rank_grid_nu2_ns6_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu2_ns6_all_dl_all_directed_sl,2,6,all_dl_all_directed_sl,14,13,13,13,0,finite_crlb,finite_full_rank,finite,1,True,False,False,3.2682873346397896,km,3.2682873346397896,,
localization_crlb::rank_grid_nu2_ns7_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu2_ns7_all_dl_all_directed_sl,2,7,all_dl_all_directed_sl,16,14,14,14,0,finite_crlb,finite_full_rank,finite,1,True,False,False,2.604779746797837,km,2.604779746797837,,
localization_crlb::rank_grid_nu2_ns8_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu2_ns8_all_dl_all_directed_sl,2,8,all_dl_all_directed_sl,18,15,15,15,0,finite_crlb,finite_full_rank,finite,1,True,False,False,2.405064229120496,km,2.405064229120496,,
localization_crlb::rank_grid_nu3_ns2_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu3_ns2_all_dl_all_directed_sl,3,2,all_dl_all_directed_sl,12,13,13,11,2,rank_deficient_diagnostic,undefined_rank_deficient,unavailable_rank_deficient,0,False,True,True,,,,,rank_deficient_diagnostic
localization_crlb::rank_grid_nu3_ns3_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu3_ns3_all_dl_all_directed_sl,3,3,all_dl_all_directed_sl,15,14,14,14,0,finite_crlb,finite_full_rank,finite,1,True,False,False,2.6113565951347,km,2.6113565951347,,
localization_crlb::rank_grid_nu3_ns4_all_dl_all_directed_sl,localization_crlb,pos_crlb_0dB_0dB,average_ue_peb,km,rank_grid_nu3_ns4_all_dl_all_directed_sl,3,4,all_dl_all_directed_sl,18,15,15,15,0,finite_crlb,finite_full_rank,finite,1,True,False,False,1.7663482478785226,km,1.7663482478785226,,
