baseline_id,baseline_label,case_index,clock_std_ns,condition_number,cost,crlb_status,figure_id,fim_nullity,fim_rank,is_full_rank,measurement_count,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
without_cooperation,Without cooperation,0,1000.0,1.0082263342553149e+17,,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,,4,1,7,199.4345338857485,199.4345338857485,199.4345338857485,0.03,1,True,3.5403237030804785e-07,0,20268623,4
coarse_jcls,Coarse JCLS,0,1000.0,1.0082263342553149e+17,5.815692956197359e-22,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,48,4,1,7,12.540779130918683,12.540779130918683,12.540779130918683,0.03,1,True,1.291893879048467e-07,0,20268623,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4972589434510208e+17,10.881806814913626,rank_deficient_diagnostic,fig4_localization_vs_satellites,1,6,False,20,14,4,1,7,236.68085129760104,236.68085129760104,236.68085129760104,0.03,1,True,2.562554186148282e-07,0,20268623,4
without_cooperation,Without cooperation,0,1000.0,1.0082263342553149e+17,,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,,4,1,7,361.4964136356098,361.4964136356098,361.4964136356098,0.03,1,True,3.5403237030804785e-07,1,20276542,4
coarse_jcls,Coarse JCLS,0,1000.0,1.0082263342553149e+17,1.0774023832212781e-20,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,51,4,1,7,156.9979860256094,156.9979860256094,156.9979860256094,0.03,1,True,2.0462574964435619e-07,1,20276542,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4972589434510208e+17,10.695183222207657,rank_deficient_diagnostic,fig4_localization_vs_satellites,1,6,False,20,17,4,1,7,292.579379183877,292.579379183877,292.579379183877,0.03,1,True,4.3270169714098717e-07,1,20276542,4
without_cooperation,Without cooperation,0,1000.0,1.0082263342553149e+17,,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,,4,1,7,179.49129866326155,179.49129866326155,179.49129866326155,0.03,1,True,3.5403237030804785e-07,2,20284461,4
coarse_jcls,Coarse JCLS,0,1000.0,1.0082263342553149e+17,1.935759479958334e-22,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,46,4,1,7,79.74713824443107,79.74713824443107,79.74713824443107,0.03,1,True,1.7498288748687905e-07,2,20284461,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4972589434510208e+17,12.19017869175969,rank_deficient_diagnostic,fig4_localization_vs_satellites,1,6,False,20,12,4,1,7,169.36364355289092,169.36364355289092,169.36364355289092,0.03,1,True,1.8877084066851516e-07,2,20284461,4
without_cooperation,Without cooperation,0,1000.0,1.0082263342553149e+17,,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,,4,1,7,180.69065810721625,180.69065810721625,180.69065810721625,0.03,1,True,3.5403237030804785e-07,3,20292380,4
coarse_jcls,Coarse JCLS,0,1000.0,1.0082263342553149e+17,1.3122438204716462e-22,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,49,4,1,7,120.91831123429264,120.91831123429264,120.91831123429264,0.03,1,True,2.770024849821299e-07,3,20292380,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4972589434510208e+17,10.773258761118651,rank_deficient_diagnostic,fig4_localization_vs_satellites,1,6,False,20,11,4,1,7,165.7069325159473,165.7069325159473,165.7069325159473,0.03,1,True,1.4519678944947544e-07,3,20292380,4
without_cooperation,Without cooperation,0,1000.0,1.0082263342553149e+17,,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,,4,1,7,207.4602415995481,207.4602415995481,207.4602415995481,0.03,1,True,3.5403237030804785e-07,4,20300299,4
coarse_jcls,Coarse JCLS,0,1000.0,1.0082263342553149e+17,2.9272699866094553e-22,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,43,4,1,7,80.87436169796104,80.87436169796104,80.87436169796104,0.03,1,True,1.460293841929226e-07,4,20300299,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4972589434510208e+17,10.43627520467425,rank_deficient_diagnostic,fig4_localization_vs_satellites,1,6,False,20,17,4,1,7,79.17409352838239,79.17409352838239,79.17409352838239,0.03,1,True,5.259767511653929e-08,4,20300299,4
without_cooperation,Without cooperation,0,1000.0,1.0082263342553149e+17,,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,,4,1,7,300.4655536732663,300.4655536732663,300.4655536732663,0.03,1,True,3.5403237030804785e-07,5,20308218,4
coarse_jcls,Coarse JCLS,0,1000.0,1.0082263342553149e+17,2.668102883880845e-22,rank_deficient_diagnostic,fig4_localization_vs_satellites,3,4,False,4,47,4,1,7,173.9751978717621,173.9751978717621,173.9751978717621,0.03,1,True,3.008780609307164e-07,5,20308218,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4972589434510208e+17,3.8677811592279174,rank_deficient_diagnostic,fig4_localization_vs_satellites,1,6,False,20,13,4,1,7,220.033291139735,220.033291139735,220.033291139735,0.03,1,True,2.9837736648023086e-07,5,20308218,4
