all_full_rank,baseline_id,baseline_label,clock_std_ns,failure_rate,figure_id,max_condition_number,max_fim_nullity,mean,median,metric_field,min_fim_rank,num_satellites,num_users,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
False,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,6.443673538519741e+17,1,275.64073490474004,263.4691084159628,position_error_mean_m,12,10,1,280.67355151717317,1,19.99938492782109,56.5668028080893,1.0,8,10
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,13973406.23165954,0,6489.820939290351,5844.223148914392,position_error_mean_m,21,10,3,7229.373075149686,3,1203.9256761378429,3405.216038566672,1.0,8,10
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,7129770.781042242,0,5428.341806134686,5212.836364594132,position_error_mean_m,29,10,5,5796.431791482254,5,768.2751319934252,2173.0102225981636,1.0,8,10
False,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,1.0082263342553149e+17,3,109.22559469232878,120.5566448621909,position_error_mean_m,4,4,1,119.14696486764834,1,17.99114346115786,50.886638170738955,1.0,8,4
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,34789592.562659174,0,16441.21392592257,16614.01426359877,position_error_mean_m,15,4,3,17728.076066143858,3,2506.311052666631,7088.918164413476,1.0,8,4
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,15543005.621865442,0,9969.264792392038,8708.644818339575,position_error_mean_m,23,4,5,11037.765875680298,5,1790.6916072330826,5064.840713953402,1.0,8,4
False,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,1.1731967498390643e+17,2,198.02366674942155,196.81258085348122,position_error_mean_m,7,6,1,207.32736271443548,1,23.211027973902908,65.6507011146296,1.0,8,6
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,11917393.602899827,0,12148.384385052199,10404.5572174779,position_error_mean_m,17,6,3,12925.391887688758,3,1668.2973477406858,4718.657470491883,1.0,8,6
True,coarse_jcls,Coarse JCLS,1000.0,0.125,fig4_localization_vs_satellites,9494111.30086433,0,8568.147273034954,7940.077504810073,position_error_mean_m,25,6,5,9341.577829705833,5,1406.7149501097147,3978.7907216763006,0.875,8,6
False,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,2.577198820403432e+17,2,310.43683313311817,318.37478458986163,position_error_mean_m,9,8,1,313.5611540246947,1,16.68861865198171,47.202541669810266,1.0,8,8
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,13334637.499685042,0,9972.131975589016,9976.922739284055,position_error_mean_m,19,8,3,10578.086163113121,3,1333.7643149950961,3772.455166550652,1.0,8,8
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig4_localization_vs_satellites,8285061.028403708,0,8310.961342712628,6804.246381192456,position_error_mean_m,27,8,5,9640.093232209623,5,1846.2053393623414,5221.857259703692,1.0,8,8
False,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,1.7296572645769222e+17,1,954.5265134516819,950.6689098305783,position_error_mean_m,12,10,1,982.2419634911331,1,87.56908290086713,247.6827693659604,1.0,8,10
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,13973406.232612394,0,3388.516610949793,3205.0724265757262,position_error_mean_m,21,10,3,3725.9029075348535,3,585.5775724742688,1656.26348962925,1.0,8,10
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,7129770.782191103,0,2355.738424661333,1898.2340147924624,position_error_mean_m,29,10,5,2675.183387191523,5,479.1514269562764,1355.244892863975,1.0,8,10
False,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,1.4972589434510208e+17,1,190.86289160025805,181.68247079181535,position_error_mean_m,6,4,1,199.5451078468545,1,22.005215860923748,62.240149426931815,1.0,8,4
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.125,fig4_localization_vs_satellites,34789592.5861753,0,7072.268443976825,5490.990463992906,position_error_mean_m,15,4,3,8203.838207136336,3,1571.44066681317,4444.705406943611,0.875,8,4
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,15543005.62675611,0,5904.494459285894,6187.237683729534,position_error_mean_m,23,4,5,6289.632990992832,5,819.096047189271,2316.7534776425196,1.0,8,4
False,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,1.523592452684832e+17,1,489.1669884694132,485.4413210442208,position_error_mean_m,8,6,1,511.383909008609,1,56.35241126123843,159.38868855613944,1.0,8,6
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,11917393.608331028,0,6053.351553184546,4523.349341095509,position_error_mean_m,17,6,3,6786.147773727577,3,1159.355521734012,3279.1526048967507,1.0,8,6
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,9494111.307461843,0,3840.6869653036456,3830.9909241930545,position_error_mean_m,25,6,5,4290.474244266881,5,722.8211471394706,2044.4469389094356,1.0,8,6
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,6.693979909897655e+16,0,938.6310738942285,821.9885928579026,position_error_mean_m,11,8,1,977.1678297518076,1,102.6983618050072,290.4748321962805,1.0,8,8
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,13334637.500712164,0,4193.8595329699,4111.263783695426,position_error_mean_m,19,8,3,4638.688867080815,3,749.187810069486,2119.023123529731,1.0,8,8
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig4_localization_vs_satellites,8285061.033481127,0,4131.1612207912685,3159.390094022776,position_error_mean_m,27,8,5,5036.137898131604,5,1088.655258093856,3079.1820614902267,1.0,8,8
False,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,6.443673538519741e+17,1,527.6378383316254,521.2222970864161,position_error_mean_m,12,10,1,528.2385964323088,1,9.519351129636668,26.92479094504764,1.0,8,10
True,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,13973406.23165954,0,515.4832823277469,514.1906184209188,position_error_mean_m,21,10,3,516.4460005356841,3,11.913120677377131,33.69539366426819,1.0,8,10
True,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,7129770.781042242,0,646.0164633444183,650.3626003644574,position_error_mean_m,29,10,5,646.2486214649689,5,6.546643996763532,18.516705456502784,1.0,8,10
False,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,1.0082263342553149e+17,3,265.2275960963253,238.81858600571582,position_error_mean_m,4,4,1,278.4398517748815,1,32.033628146020206,90.60478275223656,1.0,8,4
True,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,34789592.562659174,0,797.1604887818328,806.9275722792258,position_error_mean_m,15,4,3,797.5914458890435,3,9.908651922756404,28.025899867992706,1.0,8,4
True,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,15543005.621865442,0,505.92597023948093,505.3875654969343,position_error_mean_m,23,4,5,506.15189442620516,5,5.7153036224330425,16.165319791849775,1.0,8,4
False,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,1.1731967498390643e+17,2,929.4912506891164,936.1987559452027,position_error_mean_m,7,6,1,930.6301249114384,1,17.396404739656386,49.20446303870731,1.0,8,6
True,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,11917393.602899827,0,896.6321165973825,897.2460809757256,position_error_mean_m,17,6,3,896.9376523755232,3,8.847919327751233,25.025695024177665,1.0,8,6
True,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,9494111.30086433,0,820.07264179204,818.3523753908905,position_error_mean_m,25,6,5,820.1545744616968,5,4.3815880140075185,12.393002388281657,1.0,8,6
False,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,2.577198820403432e+17,2,430.6876359373266,433.0958030043006,position_error_mean_m,9,8,1,433.36190751384174,1,18.168666649530508,51.38874957200357,1.0,8,8
True,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,13334637.499685042,0,338.7629724255658,334.2322355321426,position_error_mean_m,19,8,3,339.28203170444107,3,7.090693607909052,20.05551013387439,1.0,8,8
True,without_cooperation,Without cooperation,1000.0,0.0,fig4_localization_vs_satellites,8285061.028403708,0,358.8706211956074,358.5781632964962,position_error_mean_m,27,8,5,359.04394935643325,5,4.216207031780918,11.925234332234771,1.0,8,8
