baseline_id,baseline_label,case_index,clock_std_ns,condition_number,cost,crlb_status,figure_id,fim_nullity,fim_rank,is_full_rank,measurement_count,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
without_cooperation,Without cooperation,0,1000.0,7.503077053106768e+16,,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,,4,1,7,897.847210242511,897.847210242511,897.847210242511,0.03,1,True,1.172589197344468e-06,0,20268624,4
coarse_jcls,Coarse JCLS,0,1000.0,7.503077053106768e+16,1.1571232638835265e-19,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,52,4,1,7,391.25167162802916,391.25167162802916,391.25167162802916,0.03,1,True,6.451071266887909e-07,0,20268624,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4836189533704416e+17,5.286674882159942,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,1,6,False,20,19,4,1,7,1165.290515550894,1165.290515550894,1165.290515550894,0.03,1,True,1.0705498485489457e-06,0,20268624,4
without_cooperation,Without cooperation,0,1000.0,7.503077053106768e+16,,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,,4,1,7,825.9807090373013,825.9807090373013,825.9807090373013,0.03,1,True,1.172589197344468e-06,1,20276543,4
coarse_jcls,Coarse JCLS,0,1000.0,7.503077053106768e+16,4.013661176892091e-20,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,48,4,1,7,353.23922677370575,353.23922677370575,353.23922677370575,0.03,1,True,6.642786810971332e-07,1,20276543,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4836189533704416e+17,7.882158805025706,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,1,6,False,20,17,4,1,7,983.1058628570044,983.1058628570044,983.1058628570044,0.03,1,True,1.0509871138167144e-06,1,20276543,4
without_cooperation,Without cooperation,0,1000.0,7.503077053106768e+16,,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,,4,1,7,872.3500508738359,872.3500508738359,872.3500508738359,0.03,1,True,1.172589197344468e-06,2,20284462,4
coarse_jcls,Coarse JCLS,0,1000.0,7.503077053106768e+16,4.651161762506537e-20,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,51,4,1,7,399.0657032971122,399.0657032971122,399.0657032971122,0.03,1,True,7.317753498683005e-07,2,20284462,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4836189533704416e+17,5.334597495838198,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,1,6,False,20,16,4,1,7,366.2862913432468,366.2862913432468,366.2862913432468,0.03,1,True,4.517945510922543e-07,2,20284462,4
without_cooperation,Without cooperation,0,1000.0,7.503077053106768e+16,,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,,4,1,7,924.291569024194,924.291569024194,924.291569024194,0.03,1,True,1.172589197344468e-06,3,20292381,4
coarse_jcls,Coarse JCLS,0,1000.0,7.503077053106768e+16,9.044924873131545e-21,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,52,4,1,7,456.78557235742426,456.78557235742426,456.78557235742426,0.03,1,True,7.102585983227517e-07,3,20292381,4
