all_full_rank,baseline_id,baseline_label,clock_std_ns,failure_rate,figure_id,max_condition_number,max_fim_nullity,mean,median,metric_field,min_fim_rank,num_satellites,num_users,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
False,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,9.113211869084853e+16,2,2.219121929143236e-07,2.2278633531873463e-07,sync_error_mean_s,11,10,1,2.258212836362691e-07,1,1.5812430820123416e-08,4.4724308239809714e-08,1.0,8,10
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,14162897.158531537,0,1.3287143219197667e-05,1.2219178692337629e-05,sync_error_mean_s,21,10,3,1.5911268411291237e-05,3,3.3084369967162052e-06,9.357672942025938e-06,1.0,8,10
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,7246417.610703268,0,8.890913243071587e-06,9.52917475008058e-06,sync_error_mean_s,29,10,5,9.28550121957855e-06,5,1.012224890523631e-06,2.863004336700281e-06,1.0,8,10
False,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,7.503077053106768e+16,3,6.823432352659381e-07,6.73919170656583e-07,sync_error_mean_s,4,4,1,6.837933407855366e-07,1,1.682278297623111e-08,4.758201568369051e-08,1.0,8,4
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,37540107.79612177,0,1.928651552007895e-05,1.6748760214713533e-05,sync_error_mean_s,15,4,3,2.2372868790050642e-05,3,4.285783425475701e-06,1.2122026091403117e-05,1.0,8,4
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,16128300.6119486,0,8.801717850928574e-06,8.031823395109732e-06,sync_error_mean_s,23,4,5,9.088635746040998e-06,5,8.563262559878764e-07,2.4220564100684595e-06,1.0,8,4
False,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,8.885088410229462e+17,3,3.831746685466957e-07,3.8008230145105974e-07,sync_error_mean_s,6,6,1,3.8490987463631613e-07,1,1.3798472879657479e-08,3.902797497289789e-08,1.0,8,6
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,11807123.452322587,0,1.451616932620106e-05,1.0747692153098861e-05,sync_error_mean_s,17,6,3,1.667316019512412e-05,3,3.100117485914983e-06,8.768456387061904e-06,1.0,8,6
True,coarse_jcls,Coarse JCLS,1000.0,0.125,fig5_synchronization_vs_satellites,9666783.319911342,0,1.2260687009166066e-05,1.2185485139419783e-05,sync_error_mean_s,25,6,5,1.3213059027560806e-05,5,1.8616614288268947e-06,5.265573682387738e-06,0.875,8,6
False,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,7.281996140593669e+17,2,3.400098302619843e-07,3.5578005207639994e-07,sync_error_mean_s,9,8,1,3.4382198842556627e-07,1,1.9297946042174986e-08,5.4582834037576115e-08,1.0,8,8
True,coarse_jcls,Coarse JCLS,1000.0,0.125,fig5_synchronization_vs_satellites,13390301.307570348,0,1.1517676712106468e-05,7.1247093861559046e-06,sync_error_mean_s,19,8,3,1.5135672170309803e-05,3,3.7115975613607027e-06,1.0497983218694424e-05,0.875,8,8
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig5_synchronization_vs_satellites,8209373.376880531,0,7.915318518220333e-06,5.8601764844410594e-06,sync_error_mean_s,27,8,5,9.374547834545058e-06,5,1.8984911248256251e-06,5.369743793546703e-06,1.0,8,8
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,6.318310559733937e+16,0,7.016937840766136e-07,5.593168670722702e-07,sync_error_mean_s,13,10,1,8.131918293484896e-07,1,1.5533686192428276e-07,4.3935899373959506e-07,1.0,8,10
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,14162897.161449822,0,4.89764942693235e-06,4.386121190340898e-06,sync_error_mean_s,21,10,3,6.3254006520354e-06,3,1.5129783068806032e-06,4.279348882333664e-06,1.0,8,10
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,7246417.612174396,0,2.4058872095091437e-06,1.6669718803818602e-06,sync_error_mean_s,29,10,5,3.1475684618985236e-06,5,7.670811055514781e-07,2.169633005822096e-06,1.0,8,10
False,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,1.4836189533704416e+17,1,8.11753435282657e-07,8.825139151193846e-07,sync_error_mean_s,6,4,1,8.476589014080954e-07,1,9.225893177293717e-08,2.6094766512668364e-07,1.0,8,4
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.125,fig5_synchronization_vs_satellites,37540107.86745934,0,1.399215147681069e-05,1.3889751528263786e-05,sync_error_mean_s,15,4,3,1.5536244120800087e-05,3,2.552158146439981e-06,7.218593328032802e-06,0.875,8,4
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,16128300.619895795,0,6.07770371332544e-06,4.511193287577731e-06,sync_error_mean_s,23,4,5,7.473172240129346e-06,5,1.6435945321880872e-06,4.648787356925311e-06,1.0,8,4
False,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,1.0889537307511502e+17,1,8.341176450135882e-07,7.164755558291163e-07,sync_error_mean_s,8,6,1,9.074048747839383e-07,1,1.3502981737307416e-07,3.8192199810752735e-07,1.0,8,6
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.25,fig5_synchronization_vs_satellites,11807123.458966324,0,5.846005187086665e-06,3.550412162698819e-06,sync_error_mean_s,17,6,3,7.631756504143478e-06,3,1.8542588311811145e-06,5.244635974412831e-06,0.75,8,6
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,9666783.319259552,0,4.296069143263459e-06,2.9141808177989737e-06,sync_error_mean_s,25,6,5,5.385200200356188e-06,5,1.2273182794913873e-06,3.4713803124102656e-06,1.0,8,6
False,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,5.313923550288633e+17,1,6.033537628748561e-07,5.51289278014152e-07,sync_error_mean_s,10,8,1,6.395674461975642e-07,1,8.018795337066006e-08,2.2680578239145763e-07,1.0,8,8
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,13390301.31840675,0,4.57104927157194e-06,2.309465266780653e-06,sync_error_mean_s,19,8,3,6.805046471374762e-06,3,1.9054120677102789e-06,5.389319176130477e-06,1.0,8,8
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites,8209373.381948947,0,4.613333686472664e-06,4.538896401269568e-06,sync_error_mean_s,27,8,5,4.941399527142546e-06,5,6.691766352446133e-07,1.8927173463722516e-06,1.0,8,8
False,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,9.113211869084853e+16,2,1.0893986603854016e-06,1.0893986603854016e-06,sync_error_mean_s,11,10,1,1.0893986603854016e-06,1,0.0,0.0,1.0,8,10
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,14162897.158531537,0,8.080492017738264e-07,8.080492017738264e-07,sync_error_mean_s,21,10,3,8.080492017738264e-07,3,0.0,0.0,1.0,8,10
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,7246417.610703268,0,9.438492337941138e-07,9.438492337941138e-07,sync_error_mean_s,29,10,5,9.438492337941138e-07,5,0.0,0.0,1.0,8,10
False,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,7.503077053106768e+16,3,1.172589197344468e-06,1.172589197344468e-06,sync_error_mean_s,4,4,1,1.172589197344468e-06,1,0.0,0.0,1.0,8,4
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,37540107.79612177,0,8.712466026775725e-07,8.712466026775725e-07,sync_error_mean_s,15,4,3,8.712466026775725e-07,3,0.0,0.0,1.0,8,4
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,16128300.6119486,0,7.539016568631376e-07,7.539016568631376e-07,sync_error_mean_s,23,4,5,7.539016568631376e-07,5,0.0,0.0,1.0,8,4
False,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,8.885088410229462e+17,3,9.65286473072365e-07,9.65286473072365e-07,sync_error_mean_s,6,6,1,9.65286473072365e-07,1,0.0,0.0,1.0,8,6
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,11807123.452322587,0,6.396474273550123e-07,6.396474273550123e-07,sync_error_mean_s,17,6,3,6.396474273550123e-07,3,0.0,0.0,1.0,8,6
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,9666783.319911342,0,1.002354911425317e-06,1.002354911425317e-06,sync_error_mean_s,25,6,5,1.002354911425317e-06,5,0.0,0.0,1.0,8,6
False,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,7.281996140593669e+17,2,6.797052466875077e-07,6.797052466875077e-07,sync_error_mean_s,9,8,1,6.797052466875077e-07,1,0.0,0.0,1.0,8,8
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,13390301.307570348,0,7.00501648189617e-07,7.00501648189617e-07,sync_error_mean_s,19,8,3,7.00501648189617e-07,3,0.0,0.0,1.0,8,8
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites,8209373.376880531,0,1.0848660560639278e-06,1.0848660560639278e-06,sync_error_mean_s,27,8,5,1.0848660560639278e-06,5,0.0,0.0,1.0,8,8
