baseline_id,baseline_label,case_index,clock_std_ns,condition_number,cost,crlb_status,figure_id,fim_nullity,fim_rank,is_full_rank,measurement_count,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
without_cooperation,Without cooperation,0,1.0,14471181.193516972,,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,,10,3,21,73.2342368784934,36.65544902901639,90.56157721466371,0.03,clock_sweep,True,8.340936941339035e-10,0,20268625,1.0
coarse_jcls,Coarse JCLS,0,1.0,14471181.193516972,5.766194815061327,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,96,10,3,21,16401.18174625703,16406.248207441575,16401.18495206636,0.03,clock_sweep,True,2.51652407564004e-05,0,20268625,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14471181.201999856,63.42956306681831,finite_crlb,fig6_localization_vs_clock_std,0,21,True,180,87,10,3,21,1237.3669667732438,1234.6166767059187,1237.4046512466632,0.03,clock_sweep,True,9.996003192565296e-07,0,20268625,1.0
without_cooperation,Without cooperation,0,1.0,14471181.193516972,,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,,10,3,21,44.84871052620557,39.65364415340637,47.69130692945517,0.03,clock_sweep,True,8.340936941339035e-10,1,20276544,1.0
coarse_jcls,Coarse JCLS,0,1.0,14471181.193516972,4.4162862585292455,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,34,10,3,21,4912.757001506494,4910.28804749295,4912.769119896388,0.03,clock_sweep,True,6.993814891971036e-06,1,20276544,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14471181.201999856,78.23622228193092,finite_crlb,fig6_localization_vs_clock_std,0,21,True,180,32,10,3,21,3173.2198122554614,3165.393929637311,3173.2402618797164,0.03,clock_sweep,True,4.403107676247469e-06,1,20276544,1.0
without_cooperation,Without cooperation,0,1.0,14471181.193516972,,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,,10,3,21,57.279480391322295,63.4583191635517,58.30088643164834,0.03,clock_sweep,True,8.340936941339035e-10,2,20284463,1.0
coarse_jcls,Coarse JCLS,0,1.0,14471181.193516972,3.965007086714811,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,69,10,3,21,9967.537537354596,9965.277452779737,9967.545356210898,0.03,clock_sweep,True,7.016643882040342e-06,2,20284463,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14471181.201999856,66.89031232057621,finite_crlb,fig6_localization_vs_clock_std,0,21,True,180,51,10,3,21,5341.8827348849545,5339.54429438306,5341.889343925168,0.03,clock_sweep,True,8.637618611246093e-06,2,20284463,1.0
without_cooperation,Without cooperation,0,1.0,14471181.193516972,,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,,10,3,21,76.0089746790136,72.5065650672379,76.59844651127263,0.03,clock_sweep,True,8.340936941339035e-10,3,20292382,1.0
coarse_jcls,Coarse JCLS,0,1.0,14471181.193516972,6.386600497185765,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,51,10,3,21,8728.635054889999,8735.821160431888,8728.645614298208,0.03,clock_sweep,True,1.4914141714444077e-05,3,20292382,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14471181.201999856,96.18061664059242,finite_crlb,fig6_localization_vs_clock_std,0,21,True,180,66,10,3,21,4022.4471382575052,4021.7499318566965,4022.4484546185276,0.03,clock_sweep,True,5.746093450674876e-06,3,20292382,1.0
without_cooperation,Without cooperation,0,1.0,14471181.193516972,,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,,10,3,21,60.59248184321083,58.28832241240835,60.72887233410345,0.03,clock_sweep,True,8.340936941339035e-10,4,20300301,1.0
coarse_jcls,Coarse JCLS,0,1.0,14471181.193516972,7.1646578500196965,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,75,10,3,21,15858.514222982887,15854.38909229108,15858.517293608362,0.03,clock_sweep,True,2.255480266372062e-05,4,20300301,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14471181.201999856,87.07378549563556,finite_crlb,fig6_localization_vs_clock_std,0,21,True,180,92,10,3,21,4076.2030401330107,4082.390386533452,4076.2147755115516,0.03,clock_sweep,True,6.822495025170632e-06,4,20300301,1.0
without_cooperation,Without cooperation,0,1.0,14471181.193516972,,finite_crlb,fig6_localization_vs_clock_std,0,21,True,36,,10,3,21,63.35755552123569,70.29762406213165,67.6150486514181,0.03,clock_sweep,True,8.340936941339035e-10,5,20308220,1.0
