all_full_rank,baseline_id,baseline_label,clock_std_ns,failure_rate,figure_id,max_condition_number,max_fim_nullity,mean,median,metric_field,min_fim_rank,num_satellites,num_users,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
True,coarse_jcls,Coarse JCLS,1.0,0.0,fig6_localization_vs_clock_std,14471181.193516972,0,10499.440682484399,9348.086296122297,position_error_mean_m,21,10,3,11422.704509277388,clock_sweep,1499.6267558317286,4742.236188557456,1.0,10,1.0
True,coarse_jcls,Coarse JCLS,10.0,0.0,fig6_localization_vs_clock_std,15185201.68875787,0,6193.7933396699445,5615.441461071209,position_error_mean_m,21,10,3,6696.388951899058,clock_sweep,848.4331349661231,2682.981148849995,1.0,10,10.0
True,coarse_jcls,Coarse JCLS,100.0,0.0,fig6_localization_vs_clock_std,14833761.871177712,0,8104.888852430357,7449.536029171239,position_error_mean_m,21,10,3,9247.370646569003,clock_sweep,1484.16233631321,4693.333400186573,1.0,10,100.0
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig6_localization_vs_clock_std,14591032.027196936,0,7100.051208218999,6939.026853268464,position_error_mean_m,21,10,3,8389.012460987698,clock_sweep,1489.3996893332858,4709.895364640374,1.0,10,1000.0
True,coarse_jcls,Coarse JCLS,10000.0,0.0,fig6_localization_vs_clock_std,14556914.890464554,0,10359.451925575333,8751.089394995535,position_error_mean_m,21,10,3,12371.533842436038,clock_sweep,2254.2948002087455,7128.706086133857,1.0,10,10000.0
True,refined_jcls,"Refined JCLS, 0.5 s",1.0,0.0,fig6_localization_vs_clock_std,14471181.201999856,0,4639.066583348271,4638.160613409766,position_error_mean_m,21,10,3,5022.159004192842,clock_sweep,641.2784365500459,2027.9004738499157,1.0,10,1.0
True,refined_jcls,"Refined JCLS, 0.5 s",10.0,0.0,fig6_localization_vs_clock_std,15185201.69186531,0,4965.245997179103,5192.577893919292,position_error_mean_m,21,10,3,5287.781412548031,clock_sweep,606.1687017091074,1916.8737437079803,1.0,10,10.0
True,refined_jcls,"Refined JCLS, 0.5 s",100.0,0.0,fig6_localization_vs_clock_std,14833761.874602744,0,4175.706714868331,3739.8459894562584,position_error_mean_m,21,10,3,4705.25647919979,clock_sweep,722.8732766194711,2285.926013786471,1.0,10,100.0
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig6_localization_vs_clock_std,14591032.031056043,0,3926.911316787312,3932.138967816864,position_error_mean_m,21,10,3,4514.656033241698,clock_sweep,742.4798245349768,2347.9273622526957,1.0,10,1000.0
True,refined_jcls,"Refined JCLS, 0.5 s",10000.0,0.0,fig6_localization_vs_clock_std,14556914.897669584,0,3795.382083935098,4468.166730088762,position_error_mean_m,21,10,3,4074.4010941816205,clock_sweep,493.94321684592023,1561.985600023559,1.0,10,10000.0
True,without_cooperation,Without cooperation,1.0,0.0,fig6_localization_vs_clock_std,14471181.193516972,0,56.598311678901226,58.81525621912054,position_error_mean_m,21,10,3,58.18498193769985,clock_sweep,4.498434767146004,14.225299769870556,1.0,10,1.0
True,without_cooperation,Without cooperation,10.0,0.0,fig6_localization_vs_clock_std,15185201.68875787,0,53.703389915743195,53.96792388474361,position_error_mean_m,21,10,3,55.17865647093857,clock_sweep,4.224663582865401,13.359559269822164,1.0,10,10.0
True,without_cooperation,Without cooperation,100.0,0.0,fig6_localization_vs_clock_std,14833761.871177712,0,78.05619083598022,76.57982169841128,position_error_mean_m,21,10,3,79.72206286460369,clock_sweep,5.40409700098873,17.089255219609598,1.0,10,100.0
True,without_cooperation,Without cooperation,1000.0,0.0,fig6_localization_vs_clock_std,14591032.027196936,0,629.2632938380445,626.2110716230419,position_error_mean_m,21,10,3,629.5809953789648,clock_sweep,6.666139733032287,21.080184757328805,1.0,10,1000.0
True,without_cooperation,Without cooperation,10000.0,0.0,fig6_localization_vs_clock_std,14556914.890464554,0,13532.25389816002,13558.543456330379,position_error_mean_m,21,10,3,13532.508484624184,clock_sweep,27.669321476078345,87.49807717581972,1.0,10,10000.0
