baseline_id,baseline_label,case_index,clock_std_ns,condition_number,cost,crlb_status,figure_id,fim_nullity,fim_rank,is_full_rank,measurement_count,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,47.72007297158749,56.13666438011111,54.831426882494206,0.03,clock_sweep,True,9.366997638721053e-10,0,20268626,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,8.525579047931549,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,59,10,3,21,9036.79405779148,9061.702191400655,9036.91189329965,0.03,clock_sweep,True,8.111726743128195e-06,0,20268626,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,72.38471403443461,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,67,10,3,21,9038.16739231949,9047.061839719627,9038.179548073862,0.03,clock_sweep,True,1.470979776563944e-05,0,20268626,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,64.57213120283878,52.12017158404421,69.95514650401252,0.03,clock_sweep,True,9.366997638721053e-10,1,20276545,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,7.661002742197772,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,68,10,3,21,9796.938846880055,9798.99952769397,9796.972944555977,0.03,clock_sweep,True,1.1692443403411495e-05,1,20276545,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,84.08415028605023,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,62,10,3,21,4661.647308025028,4670.148336720279,4661.672906912988,0.03,clock_sweep,True,7.322968664245029e-06,1,20276545,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,80.50880369323185,68.76112275940866,83.59806036920602,0.03,clock_sweep,True,9.366997638721053e-10,2,20284464,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,3.32217661604497,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,62,10,3,21,8674.385666720622,8638.368352011472,8674.7044574872,0.03,clock_sweep,True,1.1427446474638587e-05,2,20284464,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,86.26987778503003,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,62,10,3,21,1603.8629392477271,1600.1814542832476,1603.9067626709364,0.03,clock_sweep,True,2.0024817084645557e-06,2,20284464,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,51.63348062164284,27.981324395599128,65.11821972917362,0.03,clock_sweep,True,9.366997638721053e-10,3,20292383,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,9.216883628511065,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,91,10,3,21,14818.015340285814,14816.099196641377,14818.016622984142,0.03,clock_sweep,True,2.156858109398211e-05,3,20292383,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,84.75217180487546,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,127,10,3,21,4793.641950911497,4793.88192599519,4793.665895546039,0.03,clock_sweep,True,7.179644042544558e-06,3,20292383,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,36.5048552717787,44.39296477729313,40.48884150916195,0.03,clock_sweep,True,9.366997638721053e-10,4,20300302,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,7.331927766046347,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,68,10,3,21,9796.877996945788,9812.13342914903,9796.904394995909,0.03,clock_sweep,True,1.3838552287874974e-05,4,20300302,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,65.68683484568662,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,38,10,3,21,5088.4249816377915,5085.887052053488,5088.430544635738,0.03,clock_sweep,True,7.0529677959362884e-06,4,20300302,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,67.26765057304156,86.98932673182846,77.92243921767458,0.03,clock_sweep,True,9.366997638721053e-10,5,20308221,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,10.323945185723003,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,70,10,3,21,10051.40333323496,10061.234262849557,10051.414096085537,0.03,clock_sweep,True,9.212906612736405e-06,5,20308221,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,85.18355919275317,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,133,10,3,21,13640.93256404766,13661.244367742074,13640.971411709292,0.03,clock_sweep,True,1.8262086751750063e-05,5,20308221,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,42.498828704128535,36.16204770131914,44.79667762069519,0.03,clock_sweep,True,9.366997638721053e-10,6,20316140,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,15.082042644971773,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,50,10,3,21,7638.85799216804,7648.5956027104285,7638.883714440344,0.03,clock_sweep,True,7.956904281970816e-06,6,20316140,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,85.83302780751576,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,30,10,3,21,3599.8008055040023,3606.9784361499046,3599.819682521586,0.03,clock_sweep,True,5.353097459758898e-06,6,20316140,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,51.69523794776177,32.9786853500358,60.178275300793786,0.03,clock_sweep,True,9.366997638721053e-10,7,20324059,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,5.540741292940524,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,34,10,3,21,1926.1958273036544,1921.4080243121007,1926.2175291501994,0.03,clock_sweep,True,1.4099133691018722e-06,7,20324059,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,76.78624482210301,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,44,10,3,21,3252.801129469668,3257.9769920104823,3252.8173585529803,0.03,clock_sweep,True,2.9747163374303427e-06,7,20324059,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,62.33600179474928,67.67567000521572,63.88881510532676,0.03,clock_sweep,True,9.366997638721053e-10,8,20331978,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,6.328648603221858,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,179,10,3,21,12088.050558384193,12081.267715142587,12088.117458339082,0.03,clock_sweep,True,1.7471274965836337e-05,8,20331978,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,69.20580160065292,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,39,10,3,21,8234.87023811224,8245.796511323782,8234.88663952373,0.03,clock_sweep,True,1.375897111063377e-05,8,20331978,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,61.08554557432057,48.88674352357011,66.662151631031,0.03,clock_sweep,True,9.366997638721053e-10,9,20339897,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,12.72076020948579,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,24,10,3,21,3494.063929997843,3488.467282089133,3494.2070633065455,0.03,clock_sweep,True,3.0900174882063867e-06,9,20339897,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,77.64904511032302,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,55,10,3,21,6491.797075940575,6484.9265034665805,6491.806228029551,0.03,clock_sweep,True,1.0501697210321028e-05,9,20339897,1.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,44.46274894208204,33.837315037816644,53.154139336718245,0.03,clock_sweep,True,6.5542398212988435e-09,0,20269635,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,6.383629446676257,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,200,10,3,21,15105.884423004949,15114.39059514794,15105.91831358173,0.03,clock_sweep,False,1.9544858487312788e-05,0,20269635,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,88.91414448145608,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,127,10,3,21,4447.599317558791,4454.88531887175,4447.614155218377,0.03,clock_sweep,True,3.2053362285886847e-06,0,20269635,10.0
