all_full_rank,baseline_id,baseline_label,clock_std_ns,failure_rate,figure_id,max_condition_number,max_fim_nullity,mean,median,metric_field,min_fim_rank,num_satellites,num_users,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
True,coarse_jcls,Coarse JCLS,1.0,0.0,fig7_synchronization_vs_clock_std,14394746.00945501,0,1.0577976672088718e-05,1.0320176543687495e-05,sync_error_mean_s,21,10,3,1.2061428534733873e-05,clock_sweep,1.931736922025224e-06,6.108688513842793e-06,1.0,10,1.0
True,coarse_jcls,Coarse JCLS,10.0,0.09999999999999998,fig7_synchronization_vs_clock_std,13507539.972650662,0,1.145433038437065e-05,1.0458692316989048e-05,sync_error_mean_s,21,10,3,1.3690470630461268e-05,clock_sweep,2.4994955386416563e-06,7.90409890353704e-06,0.9,10,10.0
True,coarse_jcls,Coarse JCLS,100.0,0.09999999999999998,fig7_synchronization_vs_clock_std,13518499.885890637,0,1.2237297732781407e-05,8.54076363281242e-06,sync_error_mean_s,21,10,3,1.5158642928198362e-05,clock_sweep,2.982038818286003e-06,9.430034736820741e-06,0.9,10,100.0
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig7_synchronization_vs_clock_std,13460370.716236848,0,1.4044303208475805e-05,1.42880366950509e-05,sync_error_mean_s,21,10,3,1.617385661147994e-05,clock_sweep,2.6739730131836414e-06,8.455845123483757e-06,1.0,10,1000.0
True,coarse_jcls,Coarse JCLS,10000.0,0.0,fig7_synchronization_vs_clock_std,14937504.968988046,0,1.5889008797322547e-05,1.5874122136079202e-05,sync_error_mean_s,21,10,3,1.6701968438243886e-05,clock_sweep,1.7157812975985823e-06,5.4257768671307106e-06,1.0,10,10000.0
True,refined_jcls,"Refined JCLS, 0.5 s",1.0,0.0,fig7_synchronization_vs_clock_std,14394746.019496359,0,8.911842884672398e-06,7.251306353394793e-06,sync_error_mean_s,21,10,3,1.0226968901953487e-05,clock_sweep,1.6723220490097556e-06,5.28834665619056e-06,1.0,10,1.0
True,refined_jcls,"Refined JCLS, 0.5 s",10.0,0.0,fig7_synchronization_vs_clock_std,13507539.977759982,0,6.7919126589165745e-06,4.771829308496007e-06,sync_error_mean_s,21,10,3,8.521653542540364e-06,clock_sweep,1.7155660398163222e-06,5.425096162254692e-06,1.0,10,10.0
True,refined_jcls,"Refined JCLS, 0.5 s",100.0,0.09999999999999998,fig7_synchronization_vs_clock_std,13518499.90435294,0,4.229583075388319e-06,3.83751151507353e-06,sync_error_mean_s,21,10,3,4.518024781199032e-06,clock_sweep,5.294834938060192e-07,1.6743738238906772e-06,0.9,10,100.0
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig7_synchronization_vs_clock_std,13460370.71540184,0,8.549609068732998e-06,7.853323457908345e-06,sync_error_mean_s,21,10,3,9.767125263466557e-06,clock_sweep,1.5741283543629655e-06,4.97783092923962e-06,1.0,10,1000.0
True,refined_jcls,"Refined JCLS, 0.5 s",10000.0,0.0,fig7_synchronization_vs_clock_std,14937504.97930693,0,6.866956340869039e-06,4.3956999779009605e-06,sync_error_mean_s,21,10,3,8.451972087928315e-06,clock_sweep,1.6425164564613724e-06,5.194093096726727e-06,1.0,10,10000.0
True,without_cooperation,Without cooperation,1.0,0.0,fig7_synchronization_vs_clock_std,14394746.00945501,0,9.366997638721053e-10,9.366997638721053e-10,sync_error_mean_s,21,10,3,9.366997638721053e-10,clock_sweep,0.0,0.0,1.0,10,1.0
True,without_cooperation,Without cooperation,10.0,0.0,fig7_synchronization_vs_clock_std,13507539.972650662,0,6.554239821298844e-09,6.5542398212988435e-09,sync_error_mean_s,21,10,3,6.5542398212988435e-09,clock_sweep,2.757268708510092e-25,8.719249240002784e-25,1.0,10,10.0
True,without_cooperation,Without cooperation,100.0,0.0,fig7_synchronization_vs_clock_std,13518499.885890637,0,6.934615738547021e-08,6.93461573854702e-08,sync_error_mean_s,21,10,3,6.93461573854702e-08,clock_sweep,4.411629933616147e-24,1.3950798784004455e-23,1.0,10,100.0
True,without_cooperation,Without cooperation,1000.0,0.0,fig7_synchronization_vs_clock_std,13460370.716236848,0,9.127249148451005e-07,9.127249148451006e-07,sync_error_mean_s,21,10,3,9.127249148451006e-07,clock_sweep,3.529303946892918e-23,1.1160639027203564e-22,1.0,10,1000.0
True,without_cooperation,Without cooperation,10000.0,0.0,fig7_synchronization_vs_clock_std,14937504.968988046,0,8.65214379039815e-06,8.65214379039815e-06,sync_error_mean_s,21,10,3,8.65214379039815e-06,clock_sweep,0.0,0.0,1.0,10,10000.0
