algorithm_accepted_steps,algorithm_converged,algorithm_final_damping,algorithm_final_innovation_norm,algorithm_iteration_count,algorithm_iteration_limit_reached,algorithm_jacobian_rank,algorithm_numerical_failure,algorithm_pi_shape,algorithm_posterior_covariance_trace,algorithm_process_noise_std_km,algorithm_reference_satellite_clock_in_state,algorithm_residual_norm,algorithm_stage,algorithm_state_dim,algorithm_status,algorithm_step_norm,algorithm_theta_dim,algorithm_truth_centered_initialization,algorithm_update_completed,algorithm_upstream_status,algorithm_upstream_success,algorithm_uses_innovation_z_minus_h_pred,baseline_id,baseline_label,baseline_observability_condition_number,baseline_observability_is_full_rank,baseline_observability_measurement_count,baseline_observability_nullity,baseline_observability_rank,baseline_observability_records,baseline_observability_reportable,baseline_observability_scope,baseline_observability_state_dim,case_index,clock_std_ns,cost,estimator_mode,figure_id,full_jcls_scenario_condition_number,full_jcls_scenario_crlb_status,full_jcls_scenario_fim_nullity,full_jcls_scenario_fim_rank,full_jcls_scenario_is_full_rank,full_jcls_scenario_measurement_count,full_jcls_scenario_parameter_dim,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,rank_metadata_note,rank_metadata_scope,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,76.43512710841925,True,4,0,3,"[{'user_id': 1, 'measurement_count': 4, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 76.43512710841925}]",True,without_cooperation_independent_dl_position_blocks,3,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,5.5850823874711416e+16,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,718.7227502178217,718.7227502178217,718.7227502178217,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,5.288791914809466e-07,0,20278523,4
3,False,3.7037037037037037e-05,,3,False,4,False,,,1e-05,False,1.1292804015482343e-09,step2_joint_lm_jcls,,rank_deficient_updated,3.206363448559529e-13,,False,,,,,coarse_jcls,Coarse JCLS,inf,False,4,3,4,,False,coarse_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,5.5850823874711416e+16,rank_deficient_diagnostic,3,4,False,4,7,3,4,1,7,713.9701356675387,713.9701356675387,713.9701356675387,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,4.868477628946436e-07,0,20278523,4
,False,,275624.7670109523,5,,4,False,"[7, 7]",1.5548779251023288e-05,1e-05,False,,step3_dynamic_sci_sfi_information_update,7,updated_upstream_not_converged,,7,False,True,rank_deficient_updated,False,True,refined_jcls,"Refined JCLS, 0.5 s",inf,False,20,3,4,,False,refined_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,1.2255383327528741e+17,rank_deficient_diagnostic,3,4,False,20,7,5,4,1,7,173225.26168540237,173225.26168540237,173225.26168540237,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,0.00015384195927751297,0,20278523,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,76.43512710841925,True,4,0,3,"[{'user_id': 1, 'measurement_count': 4, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 76.43512710841925}]",True,without_cooperation_independent_dl_position_blocks,3,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,5.5850823874711416e+16,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,718.0788650349917,718.0788650349917,718.0788650349917,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,5.288791914809466e-07,1,20286442,4
3,False,3.7037037037037037e-05,,3,False,4,False,,,1e-05,False,6.509654876501878e-10,step2_joint_lm_jcls,,rank_deficient_updated,1.7880169042076267e-13,,False,,,,,coarse_jcls,Coarse JCLS,inf,False,4,3,4,,False,coarse_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,5.5850823874711416e+16,rank_deficient_diagnostic,3,4,False,4,7,3,4,1,7,713.2143473935977,713.2143473935977,713.2143473935977,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,4.868570166715208e-07,1,20286442,4
,False,,171861.5164878476,5,,4,False,"[7, 7]",1.2913313295263394e-05,1e-05,False,,step3_dynamic_sci_sfi_information_update,7,updated_upstream_not_converged,,7,False,True,rank_deficient_updated,False,True,refined_jcls,"Refined JCLS, 0.5 s",inf,False,20,3,4,,False,refined_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,1.2255383327528741e+17,rank_deficient_diagnostic,3,4,False,20,7,5,4,1,7,189813.83265555414,189813.83265555414,189813.83265555414,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,0.00018692856002249823,1,20286442,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,76.43512710841925,True,4,0,3,"[{'user_id': 1, 'measurement_count': 4, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 76.43512710841925}]",True,without_cooperation_independent_dl_position_blocks,3,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,5.5850823874711416e+16,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,717.9232663600488,717.9232663600488,717.9232663600488,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,5.288791914809466e-07,2,20294361,4
3,False,3.7037037037037037e-05,,3,False,4,False,,,1e-05,False,1.1292804015482343e-09,step2_joint_lm_jcls,,rank_deficient_updated,2.4455299793377515e-13,,False,,,,,coarse_jcls,Coarse JCLS,inf,False,4,3,4,,False,coarse_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,5.5850823874711416e+16,rank_deficient_diagnostic,3,4,False,4,7,3,4,1,7,713.0829943694756,713.0829943694756,713.0829943694756,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,4.868748977741327e-07,2,20294361,4
,False,,11919.958375164468,5,,4,False,"[7, 7]",0.00016694582263977842,1e-05,False,,step3_dynamic_sci_sfi_information_update,7,updated_upstream_not_converged,,7,False,True,rank_deficient_updated,False,True,refined_jcls,"Refined JCLS, 0.5 s",inf,False,20,3,4,,False,refined_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,1.2255383327528741e+17,rank_deficient_diagnostic,3,4,False,20,7,5,4,1,7,59755.34226547088,59755.34226547088,59755.34226547088,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,5.224795477992518e-05,2,20294361,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,76.43512710841925,True,4,0,3,"[{'user_id': 1, 'measurement_count': 4, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 76.43512710841925}]",True,without_cooperation_independent_dl_position_blocks,3,0,1000.0,,v24_three_stage_dynamic,fig4_localization_vs_satellites_human_review,5.5850823874711416e+16,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,719.9621371197081,719.9621371197081,719.9621371197081,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,5.288791914809466e-07,3,20302280,4
