all_baseline_observability_full_rank,all_baseline_observability_reportable,all_full_jcls_scenario_full_rank,baseline_id,baseline_label,baseline_observability_measurement_count,baseline_observability_scope,baseline_observability_state_dim,clock_std_ns,failure_rate,figure_id,max_baseline_observability_condition_number,max_baseline_observability_nullity,max_full_jcls_scenario_condition_number,max_full_jcls_scenario_fim_nullity,mean,median,metric_field,min_baseline_observability_rank,min_full_jcls_scenario_fim_rank,num_satellites,num_users,rank_metadata_scope,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
False,False,False,coarse_jcls,Coarse JCLS,4,coarse_jcls_full_gauged_v24_theta,7,1000.0,1.0,fig4_localization_vs_satellites_human_review,inf,3,5.5850823874711416e+16,3,713.8835768864114,714.0313679034418,position_error_mean_m,4,4,4,1,full_jcls_scenario_not_baseline_observability,713.884023073682,1,0.30167431080058976,0.8532638035075008,0.0,8,4
True,True,True,coarse_jcls,Coarse JCLS,18,coarse_jcls_full_gauged_v24_theta,15,1000.0,1.0,fig4_localization_vs_satellites_human_review,2588687485757.858,0,2588356247023.5977,0,11459.23378836719,11144.00457396952,position_error_mean_m,15,15,4,3,full_jcls_scenario_not_baseline_observability,11567.964625692946,3,598.0643258316269,1691.581361525217,0.0,8,4
True,True,True,coarse_jcls,Coarse JCLS,40,coarse_jcls_full_gauged_v24_theta,23,1000.0,1.0,fig4_localization_vs_satellites_human_review,582228797369861.8,0,593486739508341.0,0,28014.356897482365,27668.71473639484,position_error_mean_m,23,23,4,5,full_jcls_scenario_not_baseline_observability,28515.63266158357,5,2012.0037528669263,5690.805989699945,0.0,8,4
True,True,True,coarse_jcls,Coarse JCLS,70,coarse_jcls_full_gauged_v24_theta,31,1000.0,0.75,fig4_localization_vs_satellites_human_review,33327856532418.688,0,33313741169168.77,0,10064.828550040647,7313.335807743124,position_error_mean_m,31,31,4,7,full_jcls_scenario_not_baseline_observability,11641.411025261203,7,2211.065577542704,6253.837854114385,0.25,8,4
False,False,False,coarse_jcls,Coarse JCLS,8,coarse_jcls_full_gauged_v24_theta,11,1000.0,1.0,fig4_localization_vs_satellites_human_review,inf,3,2.2211718798637552e+17,3,1084.8792592236973,1084.9164791422295,position_error_mean_m,8,8,8,1,full_jcls_scenario_not_baseline_observability,1084.8793187304768,1,0.13581255194669678,0.38413590580703816,0.0,8,8
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,1000.0,0.125,fig4_localization_vs_satellites_human_review,24054397941.943302,0,24054420048.35054,0,2795.2364043686134,2767.3753435341287,position_error_mean_m,19,19,8,3,full_jcls_scenario_not_baseline_observability,3079.8218776302515,3,488.72373756585245,1382.3194758385957,0.875,8,8
True,True,True,coarse_jcls,Coarse JCLS,60,coarse_jcls_full_gauged_v24_theta,27,1000.0,1.0,fig4_localization_vs_satellites_human_review,37917811381.63808,0,37917784870.771164,0,1453.734165700914,1446.431227011378,position_error_mean_m,27,27,8,5,full_jcls_scenario_not_baseline_observability,1482.4818869814887,5,109.81121508041682,310.59301933478883,0.0,8,8
True,True,True,coarse_jcls,Coarse JCLS,98,coarse_jcls_full_gauged_v24_theta,35,1000.0,0.0,fig4_localization_vs_satellites_human_review,749272595630.4009,0,749273421057.2008,0,2244.552835523612,2118.106136568507,position_error_mean_m,35,35,8,7,full_jcls_scenario_not_baseline_observability,2527.472726395482,7,439.1714522363875,1242.1644479195743,1.0,8,8
False,False,False,refined_jcls,"Refined JCLS, 0.5 s",20,refined_jcls_full_gauged_v24_theta,7,1000.0,1.0,fig4_localization_vs_satellites_human_review,inf,3,1.2255383327528741e+17,3,370983.2005349458,329754.4860402352,position_error_mean_m,4,4,4,1,full_jcls_scenario_not_baseline_observability,469918.97525866394,1,109018.54903049492,308351.0211783243,0.0,8,4
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",90,refined_jcls_full_gauged_v24_theta,15,1000.0,1.0,fig4_localization_vs_satellites_human_review,2588317428530.1665,0,2588230373105.351,0,52464.28868325375,46778.978469622714,position_error_mean_m,15,15,4,3,full_jcls_scenario_not_baseline_observability,58957.02070273806,3,10165.970567839815,28753.70690344956,0.0,8,4
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",200,refined_jcls_full_gauged_v24_theta,23,1000.0,1.0,fig4_localization_vs_satellites_human_review,584065179193270.0,0,596565201596443.9,0,320323.28111130616,374803.75059060607,position_error_mean_m,23,23,4,5,full_jcls_scenario_not_baseline_observability,370391.01761828084,5,70287.67572361123,198803.56855202632,0.0,8,4
