algorithm_accepted_steps,algorithm_converged,algorithm_final_damping,algorithm_final_innovation_norm,algorithm_iteration_count,algorithm_iteration_limit_reached,algorithm_jacobian_rank,algorithm_numerical_failure,algorithm_pi_shape,algorithm_posterior_covariance_trace,algorithm_process_noise_std_km,algorithm_reference_satellite_clock_in_state,algorithm_residual_norm,algorithm_stage,algorithm_state_dim,algorithm_status,algorithm_step_norm,algorithm_theta_dim,algorithm_truth_centered_initialization,algorithm_update_completed,algorithm_upstream_status,algorithm_upstream_success,algorithm_uses_innovation_z_minus_h_pred,baseline_id,baseline_label,baseline_observability_condition_number,baseline_observability_is_full_rank,baseline_observability_measurement_count,baseline_observability_nullity,baseline_observability_rank,baseline_observability_records,baseline_observability_reportable,baseline_observability_scope,baseline_observability_state_dim,case_index,clock_std_ns,cost,estimator_mode,figure_id,full_jcls_scenario_condition_number,full_jcls_scenario_crlb_status,full_jcls_scenario_fim_nullity,full_jcls_scenario_fim_rank,full_jcls_scenario_is_full_rank,full_jcls_scenario_measurement_count,full_jcls_scenario_parameter_dim,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,rank_metadata_note,rank_metadata_scope,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,90.37365984241055,True,4,0,3,"[{'user_id': 1, 'measurement_count': 4, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 90.37365984241055}]",True,without_cooperation_independent_dl_position_blocks,3,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,7.889379193270851e+16,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,1152.886753674669,1152.886753674669,1152.886753674669,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,5.626283164560336e-07,0,20278524,4
3,False,37037037.03703704,,15,False,4,False,,,1e-05,False,6.555181203219291e-10,step2_joint_lm_jcls,,rank_deficient_updated,1.9150230770182972e-14,,False,,,,,coarse_jcls,Coarse JCLS,inf,False,4,3,4,,False,coarse_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,7.889379193270851e+16,rank_deficient_diagnostic,3,4,False,4,7,15,4,1,7,1105.0903602927656,1105.0903602927656,1105.0903602927656,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,5.946156090103941e-07,0,20278524,4
,False,,3.819924418603623,5,,4,False,"[7, 7]",6.032391685902703e-08,1e-05,False,,step3_dynamic_sci_sfi_information_update,7,updated_upstream_not_converged,,7,False,True,rank_deficient_updated,False,True,refined_jcls,"Refined JCLS, 0.5 s",inf,False,20,3,4,,False,refined_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,6.80113492850264e+16,rank_deficient_diagnostic,3,4,False,20,7,5,4,1,7,1100.763200593734,1100.763200593734,1100.763200593734,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,5.877112667335502e-07,0,20278524,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,90.37365984241055,True,4,0,3,"[{'user_id': 1, 'measurement_count': 4, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 90.37365984241055}]",True,without_cooperation_independent_dl_position_blocks,3,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,7.889379193270851e+16,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,1153.1092681101677,1153.1092681101677,1153.1092681101677,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,5.626283164560336e-07,1,20286443,4
3,False,3.7037037037037037e-05,,3,False,4,False,,,1e-05,False,2.611497014394219e-09,step2_joint_lm_jcls,,rank_deficient_updated,3.5422275350624636e-13,,False,,,,,coarse_jcls,Coarse JCLS,inf,False,4,3,4,,False,coarse_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,7.889379193270851e+16,rank_deficient_diagnostic,3,4,False,4,7,3,4,1,7,1105.1663449723972,1105.1663449723972,1105.1663449723972,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,5.955100820349736e-07,1,20286443,4
,False,,1583.9316305594457,5,,4,False,"[7, 7]",0.003001635695271191,1e-05,False,,step3_dynamic_sci_sfi_information_update,7,updated_upstream_not_converged,,7,False,True,rank_deficient_updated,False,True,refined_jcls,"Refined JCLS, 0.5 s",inf,False,20,3,4,,False,refined_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,6.80113492850264e+16,rank_deficient_diagnostic,3,4,False,20,7,5,4,1,7,31289.50945087742,31289.50945087742,31289.50945087742,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,2.7027195913336126e-05,1,20286443,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,90.37365984241055,True,4,0,3,"[{'user_id': 1, 'measurement_count': 4, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 90.37365984241055}]",True,without_cooperation_independent_dl_position_blocks,3,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,7.889379193270851e+16,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,1152.4127948236735,1152.4127948236735,1152.4127948236735,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,5.626283164560336e-07,2,20294362,4
3,False,3.7037037037037037e-05,,3,False,4,False,,,1e-05,False,1.3057485071971094e-09,step2_joint_lm_jcls,,rank_deficient_updated,2.76329471122472e-13,,False,,,,,coarse_jcls,Coarse JCLS,inf,False,4,3,4,,False,coarse_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,7.889379193270851e+16,rank_deficient_diagnostic,3,4,False,4,7,3,4,1,7,1104.6398846973798,1104.6398846973798,1104.6398846973798,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,5.945910080461184e-07,2,20294362,4
,False,,2789103.8683483303,5,,4,False,"[7, 7]",1.357396193047059e-06,1e-05,False,,step3_dynamic_sci_sfi_information_update,7,updated_upstream_not_converged,,7,False,True,rank_deficient_updated,False,True,refined_jcls,"Refined JCLS, 0.5 s",inf,False,20,3,4,,False,refined_jcls_full_gauged_v24_theta,7,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,6.80113492850264e+16,rank_deficient_diagnostic,3,4,False,20,7,5,4,1,7,491836.6165376555,491836.6165376555,491836.6165376555,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,0.00048143193520528506,2,20294362,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,90.37365984241055,True,4,0,3,"[{'user_id': 1, 'measurement_count': 4, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 90.37365984241055}]",True,without_cooperation_independent_dl_position_blocks,3,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_human_review,7.889379193270851e+16,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,1152.213026779684,1152.213026779684,1152.213026779684,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,5.626283164560336e-07,3,20302281,4
