all_baseline_observability_full_rank,all_baseline_observability_reportable,all_full_jcls_scenario_full_rank,baseline_id,baseline_label,baseline_observability_measurement_count,baseline_observability_scope,baseline_observability_state_dim,clock_std_ns,failure_rate,figure_id,max_baseline_observability_condition_number,max_baseline_observability_nullity,max_full_jcls_scenario_condition_number,max_full_jcls_scenario_fim_nullity,mean,median,metric_field,min_baseline_observability_rank,min_full_jcls_scenario_fim_rank,num_satellites,num_users,rank_metadata_scope,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
False,False,False,coarse_jcls,Coarse JCLS,4,coarse_jcls_full_gauged_v24_theta,7,1000.0,1.0,fig5_synchronization_vs_satellites_human_review,inf,3,7.889379193270851e+16,3,5.946302017193234e-07,5.946033085282563e-07,sync_error_mean_s,4,4,4,1,full_jcls_scenario_not_baseline_observability,5.946303120589469e-07,1,1.3691632343866224e-10,3.8725784303443485e-10,0.0,8,4
True,True,True,coarse_jcls,Coarse JCLS,18,coarse_jcls_full_gauged_v24_theta,15,1000.0,0.875,fig5_synchronization_vs_satellites_human_review,3535380628768.0576,0,3535485767497.559,0,3.6442059293080693e-06,2.8143929730012938e-06,sync_error_mean_s,15,15,4,3,full_jcls_scenario_not_baseline_observability,4.2834254747320036e-06,3,8.50839664464211e-07,2.4065379857805216e-06,0.125,8,4
True,True,True,coarse_jcls,Coarse JCLS,40,coarse_jcls_full_gauged_v24_theta,23,1000.0,0.875,fig5_synchronization_vs_satellites_human_review,579650402292.0128,0,579649793554.5723,0,3.3416528845033378e-06,3.6347884317444797e-06,sync_error_mean_s,23,23,4,5,full_jcls_scenario_not_baseline_observability,3.4483156041123597e-06,5,3.216556510696561e-07,9.097795683133113e-07,0.125,8,4
True,True,True,coarse_jcls,Coarse JCLS,70,coarse_jcls_full_gauged_v24_theta,31,1000.0,1.0,fig5_synchronization_vs_satellites_human_review,6697550724256.877,0,6697573022945.224,0,1.7229740427953181e-06,1.5246074309358709e-06,sync_error_mean_s,31,31,4,7,full_jcls_scenario_not_baseline_observability,1.9720623416559608e-06,7,3.626076839527712e-07,1.0256094089334119e-06,0.0,8,4
False,False,False,coarse_jcls,Coarse JCLS,8,coarse_jcls_full_gauged_v24_theta,11,1000.0,1.0,fig5_synchronization_vs_satellites_human_review,inf,3,8.275236574641775e+17,3,6.125694054074933e-07,6.12558991442988e-07,sync_error_mean_s,8,8,8,1,full_jcls_scenario_not_baseline_observability,6.125694095501376e-07,1,2.6926657747643158e-11,7.616008915219107e-11,0.0,8,8
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,1000.0,0.75,fig5_synchronization_vs_satellites_human_review,20854000762.6231,0,20854009543.751667,0,9.624230666787003e-07,8.980461639671255e-07,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,1.0457561559752613e-06,3,1.546183219991921e-07,4.3732665592525554e-07,0.25,8,8
True,True,True,coarse_jcls,Coarse JCLS,60,coarse_jcls_full_gauged_v24_theta,27,1000.0,0.25,fig5_synchronization_vs_satellites_human_review,259221989958.2067,0,259221769888.14102,0,2.5653721545335334e-06,7.600707353526286e-07,sync_error_mean_s,27,27,8,5,full_jcls_scenario_not_baseline_observability,3.9042483108087385e-06,5,1.1123989893916445e-06,3.146339475135577e-06,0.75,8,8
True,True,True,coarse_jcls,Coarse JCLS,98,coarse_jcls_full_gauged_v24_theta,35,1000.0,1.0,fig5_synchronization_vs_satellites_human_review,188405156321.583,0,188405390300.5295,0,3.0227430287754685e-06,3.0683876114342808e-06,sync_error_mean_s,35,35,8,7,full_jcls_scenario_not_baseline_observability,3.0260784364976342e-06,7,5.368597292892078e-08,1.518468620505492e-07,0.0,8,8
False,False,False,refined_jcls,"Refined JCLS, 0.5 s",20,refined_jcls_full_gauged_v24_theta,7,1000.0,1.0,fig5_synchronization_vs_satellites_human_review,inf,3,6.80113492850264e+16,3,8.481029736876782e-05,2.4275728401374208e-05,sync_error_mean_s,4,4,4,1,full_jcls_scenario_not_baseline_observability,0.00017506447719562923,1,5.7885088921315426e-05,0.00016372375562339375,0.0,8,4
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",90,refined_jcls_full_gauged_v24_theta,15,1000.0,0.875,fig5_synchronization_vs_satellites_human_review,3535267395274.2363,0,3535292650639.4995,0,6.45382994180076e-06,5.961023056048318e-06,sync_error_mean_s,15,15,4,3,full_jcls_scenario_not_baseline_observability,7.518982683232864e-06,3,1.4581387193009195e-06,4.124239105313392e-06,0.125,8,4
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",200,refined_jcls_full_gauged_v24_theta,23,1000.0,0.875,fig5_synchronization_vs_satellites_human_review,579645008079.303,0,579659354298.6509,0,3.7778999931284154e-06,4.043583122817692e-06,sync_error_mean_s,23,23,4,5,full_jcls_scenario_not_baseline_observability,3.968562402076987e-06,5,4.593410157263159e-07,1.2992125883887783e-06,0.125,8,4
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",350,refined_jcls_full_gauged_v24_theta,31,1000.0,1.0,fig5_synchronization_vs_satellites_human_review,6698725011512.933,0,6697950142719.32,0,2.2293451546221424e-06,1.8398255080218125e-06,sync_error_mean_s,31,31,4,7,full_jcls_scenario_not_baseline_observability,2.7259487656605995e-06,7,5.9291252722343e-07,1.6770098746005635e-06,0.0,8,4
False,False,False,refined_jcls,"Refined JCLS, 0.5 s",40,refined_jcls_full_gauged_v24_theta,11,1000.0,1.0,fig5_synchronization_vs_satellites_human_review,inf,3,1.07947827222775e+19,3,9.19079234141767e-05,7.256571111235709e-05,sync_error_mean_s,8,8,8,1,full_jcls_scenario_not_baseline_observability,0.0001199792576335918,1,2.914975098154264e-05,8.244794635579209e-05,0.0,8,8
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",150,refined_jcls_full_gauged_v24_theta,19,1000.0,0.75,fig5_synchronization_vs_satellites_human_review,20853987476.59969,0,20853986549.182564,0,1.0507433033509787e-06,9.777111135879588e-07,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,1.116127661778084e-06,3,1.4226708677157013e-07,4.023920871833289e-07,0.25,8,8
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",300,refined_jcls_full_gauged_v24_theta,27,1000.0,0.25,fig5_synchronization_vs_satellites_human_review,259220937845.24426,0,259222791390.43353,0,2.178052588435878e-06,7.583458372998746e-07,sync_error_mean_s,27,27,8,5,full_jcls_scenario_not_baseline_observability,3.246015853217004e-06,5,9.096864327372754e-07,2.5729817813677106e-06,0.75,8,8
