algorithm_accepted_steps,algorithm_converged,algorithm_final_damping,algorithm_final_innovation_norm,algorithm_iteration_count,algorithm_iteration_limit_reached,algorithm_jacobian_rank,algorithm_numerical_failure,algorithm_pi_shape,algorithm_posterior_covariance_trace,algorithm_process_noise_std_km,algorithm_reference_satellite_clock_in_state,algorithm_residual_norm,algorithm_stage,algorithm_state_dim,algorithm_status,algorithm_step_norm,algorithm_theta_dim,algorithm_truth_centered_initialization,algorithm_update_completed,algorithm_upstream_status,algorithm_upstream_success,algorithm_uses_innovation_z_minus_h_pred,baseline_id,baseline_label,baseline_observability_condition_number,baseline_observability_is_full_rank,baseline_observability_measurement_count,baseline_observability_nullity,baseline_observability_rank,baseline_observability_records,baseline_observability_reportable,baseline_observability_scope,baseline_observability_state_dim,case_index,clock_std_ns,cost,estimator_mode,figure_id,full_jcls_scenario_condition_number,full_jcls_scenario_crlb_status,full_jcls_scenario_fim_nullity,full_jcls_scenario_fim_rank,full_jcls_scenario_is_full_rank,full_jcls_scenario_measurement_count,full_jcls_scenario_parameter_dim,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,rank_metadata_note,rank_metadata_scope,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,66.63850845733332,True,24,0,9,"[{'user_id': 1, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.63850845733332}, {'user_id': 2, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.60794975766088}, {'user_id': 3, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.57361511321562}]",True,without_cooperation_independent_dl_position_blocks,9,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648901842646.159,finite_crlb,0,19,True,30,19,,8,3,19,11.635544652472786,10.58933028311102,11.743626049946084,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,7.933204104507732e-09,0,20278525,10.0
15,False,0.6969171937625633,,25,True,19,False,,,1e-05,False,2.698787676946827,step2_joint_lm_jcls,,updated_not_converged,0.05535082633013286,,False,,,,,coarse_jcls,Coarse JCLS,1648909583167.806,True,30,0,19,,True,coarse_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648901842646.159,finite_crlb,0,19,True,30,19,25,8,3,19,1733.9365127618391,1733.8188540085337,1733.9365303051775,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,2.0997912683716555e-06,0,20278525,10.0
,False,,221.08918138455047,5,,19,False,"[19, 19]",0.002228770005233369,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated_upstream_not_converged,,19,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",1648856305147.882,True,150,0,19,,True,refined_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648870890544.4275,finite_crlb,0,19,True,150,19,5,8,3,19,4074.823452323027,4074.8160920886044,4074.8234524980753,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,3.94383963368137e-06,0,20278525,10.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,66.63850845733332,True,24,0,9,"[{'user_id': 1, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.63850845733332}, {'user_id': 2, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.60794975766088}, {'user_id': 3, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.57361511321562}]",True,without_cooperation_independent_dl_position_blocks,9,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648901842646.159,finite_crlb,0,19,True,30,19,,8,3,19,11.259433803053248,11.1634440151461,11.317885967287603,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,7.933204104507732e-09,1,20286444,10.0
10,True,16.935087808430286,,19,False,19,False,,,1e-05,False,3.584128242671818,step2_joint_lm_jcls,,converged,4.617038533717969e-12,,False,,,,,coarse_jcls,Coarse JCLS,1648909583167.806,True,30,0,19,,True,coarse_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648901842646.159,finite_crlb,0,19,True,30,19,19,8,3,19,5493.7565962440385,5493.694350368344,5493.7565976734095,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,2.617532032024093e-06,1,20286444,10.0
,True,,137.07789711434353,5,,19,False,"[19, 19]",0.009475978475717548,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated,,19,False,True,converged,True,True,refined_jcls,"Refined JCLS, 0.5 s",1648856305147.882,True,150,0,19,,True,refined_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648870890544.4275,finite_crlb,0,19,True,150,19,5,8,3,19,4293.30099189104,4293.249327111223,4293.300992870662,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,2.1749638245192426e-06,1,20286444,10.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,66.63850845733332,True,24,0,9,"[{'user_id': 1, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.63850845733332}, {'user_id': 2, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.60794975766088}, {'user_id': 3, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.57361511321562}]",True,without_cooperation_independent_dl_position_blocks,9,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648901842646.159,finite_crlb,0,19,True,30,19,,8,3,19,11.217955489257681,11.471672652156778,11.269729532526066,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,7.933204104507732e-09,2,20294363,10.0
15,False,0.6969171937625634,,25,True,19,False,,,1e-05,False,3.3913093686538955,step2_joint_lm_jcls,,updated_not_converged,0.060904949384844524,,False,,,,,coarse_jcls,Coarse JCLS,1648909583167.806,True,30,0,19,,True,coarse_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648901842646.159,finite_crlb,0,19,True,30,19,25,8,3,19,1907.1379718690107,1907.348927592085,1907.1380092560682,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,1.422872775910682e-06,2,20294363,10.0
,False,,179.42451272187162,5,,19,False,"[19, 19]",0.0024182442644544826,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated_upstream_not_converged,,19,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",1648856305147.882,True,150,0,19,,True,refined_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648870890544.4275,finite_crlb,0,19,True,150,19,5,8,3,19,3569.5157168804812,3569.5454474930466,3569.5157194546337,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,2.4409454335970055e-06,2,20294363,10.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,66.63850845733332,True,24,0,9,"[{'user_id': 1, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.63850845733332}, {'user_id': 2, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.60794975766088}, {'user_id': 3, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 66.57361511321562}]",True,without_cooperation_independent_dl_position_blocks,9,0,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_human_review,1648901842646.159,finite_crlb,0,19,True,30,19,,8,3,19,11.519381968877,10.64874328279983,11.637127689684032,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,7.933204104507732e-09,3,20302282,10.0
