all_baseline_observability_full_rank,all_baseline_observability_reportable,all_full_jcls_scenario_full_rank,baseline_id,baseline_label,baseline_observability_measurement_count,baseline_observability_scope,baseline_observability_state_dim,clock_std_ns,failure_rate,figure_id,max_baseline_observability_condition_number,max_baseline_observability_nullity,max_full_jcls_scenario_condition_number,max_full_jcls_scenario_fim_nullity,mean,median,metric_field,min_baseline_observability_rank,min_full_jcls_scenario_fim_rank,num_satellites,num_users,rank_metadata_scope,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,10.0,0.5,fig6_localization_vs_clock_std_human_review,1648909583167.806,0,1648901842646.159,0,3173.4656183300353,3149.8472989467155,position_error_mean_m,19,19,8,3,full_jcls_scenario_not_baseline_observability,3417.518709835643,clock_sweep,479.36715742943613,1355.8550707858944,0.5,8,10.0
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,100.0,0.125,fig6_localization_vs_clock_std_human_review,20823204473.38186,0,20823231513.16761,0,3290.1594676011605,3342.274708262945,position_error_mean_m,19,19,8,3,full_jcls_scenario_not_baseline_observability,3634.6836439257604,clock_sweep,583.8022988717884,1651.2422576181484,0.875,8,100.0
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,1000.0,0.25,fig6_localization_vs_clock_std_human_review,406095023450.14417,0,406098012506.2961,0,3805.9729901815845,3401.3675832106137,position_error_mean_m,19,19,8,3,full_jcls_scenario_not_baseline_observability,4325.543532571056,clock_sweep,776.889075569584,2197.374134260004,0.75,8,1000.0
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,10000.0,1.0,fig6_localization_vs_clock_std_human_review,202833087286.90137,0,202832486823.30844,0,30825.53188340146,31038.48405606938,position_error_mean_m,19,19,8,3,full_jcls_scenario_not_baseline_observability,30832.934195699694,clock_sweep,255.3471647294301,722.2308469477538,0.0,8,10000.0
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",150,refined_jcls_full_gauged_v24_theta,19,10.0,0.5,fig6_localization_vs_clock_std_human_review,1648856305147.882,0,1648870890544.4275,0,4459.425830570174,4184.062222107033,position_error_mean_m,19,19,8,3,full_jcls_scenario_not_baseline_observability,4646.704321333913,clock_sweep,493.58489088168125,1396.0688937346358,0.5,8,10.0
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",150,refined_jcls_full_gauged_v24_theta,19,100.0,0.125,fig6_localization_vs_clock_std_human_review,20823175391.29131,0,20823212082.410458,0,3010.3443668017076,2773.0232410289,position_error_mean_m,19,19,8,3,full_jcls_scenario_not_baseline_observability,3428.9722849131317,clock_sweep,620.5616953290447,1755.2135316471513,0.875,8,100.0
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",150,refined_jcls_full_gauged_v24_theta,19,1000.0,0.25,fig6_localization_vs_clock_std_human_review,406092002506.79254,0,406091942813.16614,0,2994.2823865708315,2414.839667106574,position_error_mean_m,19,19,8,3,full_jcls_scenario_not_baseline_observability,3524.54624958676,clock_sweep,702.7191325688057,1987.589855635724,0.75,8,1000.0
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",150,refined_jcls_full_gauged_v24_theta,19,10000.0,1.0,fig6_localization_vs_clock_std_human_review,202832412105.06186,0,202832193546.1047,0,25555.73202324976,24690.113329122905,position_error_mean_m,19,19,8,3,full_jcls_scenario_not_baseline_observability,25716.24513014457,clock_sweep,1084.2920237602634,3066.8409711494696,0.0,8,10000.0
True,True,True,without_cooperation,Without cooperation,24,without_cooperation_independent_dl_position_blocks,9,10.0,0.0,fig6_localization_vs_clock_std_human_review,66.63850845733332,0,1648901842646.159,0,11.434816777222736,11.389407885965124,position_error_mean_m,9,19,8,3,full_jcls_scenario_not_baseline_observability,11.440957816647987,clock_sweep,0.1416641065862289,0.4006866016714253,1.0,8,10.0
True,True,True,without_cooperation,Without cooperation,24,without_cooperation_independent_dl_position_blocks,9,100.0,0.0,fig6_localization_vs_clock_std_human_review,42.051211160206144,0,20823231513.16761,0,111.86184588511092,111.87954423765976,position_error_mean_m,9,19,8,3,full_jcls_scenario_not_baseline_observability,111.86202744510021,clock_sweep,0.07617583423150724,0.21545779579056445,1.0,8,100.0
True,True,True,without_cooperation,Without cooperation,24,without_cooperation_independent_dl_position_blocks,9,1000.0,0.0,fig6_localization_vs_clock_std_human_review,35.816295341514035,0,406098012506.2961,0,542.3249370493781,542.3281739594872,position_error_mean_m,9,19,8,3,full_jcls_scenario_not_baseline_observability,542.3249522113815,clock_sweep,0.04847011627249841,0.1370941916047362,1.0,8,1000.0
True,True,True,without_cooperation,Without cooperation,24,without_cooperation_independent_dl_position_blocks,9,10000.0,0.0,fig6_localization_vs_clock_std_human_review,58.324027861554555,0,202832486823.30844,0,3750.3859570967834,3750.396461016363,position_error_mean_m,9,19,8,3,full_jcls_scenario_not_baseline_observability,3750.385958730748,clock_sweep,0.04184323967005349,0.11835055407003511,1.0,8,10000.0
