algorithm_accepted_steps,algorithm_converged,algorithm_final_damping,algorithm_final_innovation_norm,algorithm_iteration_count,algorithm_iteration_limit_reached,algorithm_jacobian_rank,algorithm_numerical_failure,algorithm_pi_shape,algorithm_posterior_covariance_trace,algorithm_process_noise_std_km,algorithm_reference_satellite_clock_in_state,algorithm_residual_norm,algorithm_stage,algorithm_state_dim,algorithm_status,algorithm_step_norm,algorithm_theta_dim,algorithm_truth_centered_initialization,algorithm_update_completed,algorithm_upstream_status,algorithm_upstream_success,algorithm_uses_innovation_z_minus_h_pred,baseline_id,baseline_label,baseline_observability_condition_number,baseline_observability_is_full_rank,baseline_observability_measurement_count,baseline_observability_nullity,baseline_observability_rank,baseline_observability_records,baseline_observability_reportable,baseline_observability_scope,baseline_observability_state_dim,case_index,clock_std_ns,cost,estimator_mode,figure_id,full_jcls_scenario_condition_number,full_jcls_scenario_crlb_status,full_jcls_scenario_fim_nullity,full_jcls_scenario_fim_rank,full_jcls_scenario_is_full_rank,full_jcls_scenario_measurement_count,full_jcls_scenario_parameter_dim,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,rank_metadata_note,rank_metadata_scope,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,51.65544017692587,True,24,0,9,"[{'user_id': 1, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.65544017692587}, {'user_id': 2, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.62388898374503}, {'user_id': 3, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.60573354588944}]",True,without_cooperation_independent_dl_position_blocks,9,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493804406050.15,finite_crlb,0,19,True,30,19,,8,3,19,9.292199135532313,9.057216475596858,9.33797731069819,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,9.92136713033311e-09,0,20278526,10.0
15,False,0.6969171937625633,,25,True,19,False,,,1e-05,False,3.3396960559719298,step2_joint_lm_jcls,,updated_not_converged,0.019107072356784785,,False,,,,,coarse_jcls,Coarse JCLS,2493822958631.5283,True,30,0,19,,True,coarse_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493804406050.15,finite_crlb,0,19,True,30,19,25,8,3,19,3650.8234897647544,3651.054387291232,3650.8235143095567,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,2.3695871550308945e-06,0,20278526,10.0
,False,,15385.280297533853,5,,19,False,"[19, 19]",5.2295251364021245e-05,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated_upstream_not_converged,,19,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",2493915665551.9624,True,150,0,19,,True,refined_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493840625877.3374,finite_crlb,0,19,True,150,19,5,8,3,19,24682.91196968027,24683.24918963478,24682.911999850978,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,2.137029894998903e-05,0,20278526,10.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,51.65544017692587,True,24,0,9,"[{'user_id': 1, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.65544017692587}, {'user_id': 2, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.62388898374503}, {'user_id': 3, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.60573354588944}]",True,without_cooperation_independent_dl_position_blocks,9,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493804406050.15,finite_crlb,0,19,True,30,19,,8,3,19,9.4693651272804,9.252998664031711,9.477033428109928,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,9.92136713033311e-09,1,20286445,10.0
8,True,1524.1579027587256,,18,False,19,False,,,1e-05,False,1.6637199517406218,step2_joint_lm_jcls,,converged,4.560034626261004e-13,,False,,,,,coarse_jcls,Coarse JCLS,2493822958631.5283,True,30,0,19,,True,coarse_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493804406050.15,finite_crlb,0,19,True,30,19,18,8,3,19,1379.5106224450365,1379.5019187763412,1379.5106227602612,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,1.3781200783143436e-06,1,20286445,10.0
,True,,382.3322364626084,5,,19,False,"[19, 19]",0.004122206652635451,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated,,19,False,True,converged,True,True,refined_jcls,"Refined JCLS, 0.5 s",2493915665551.9624,True,150,0,19,,True,refined_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493840625877.3374,finite_crlb,0,19,True,150,19,5,8,3,19,3673.366868360063,3673.261558055401,3673.3668728022835,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,3.118190705017627e-06,1,20286445,10.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,51.65544017692587,True,24,0,9,"[{'user_id': 1, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.65544017692587}, {'user_id': 2, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.62388898374503}, {'user_id': 3, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.60573354588944}]",True,without_cooperation_independent_dl_position_blocks,9,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493804406050.15,finite_crlb,0,19,True,30,19,,8,3,19,9.550957747078183,9.417823360493387,9.557612787814307,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,9.92136713033311e-09,2,20294364,10.0
7,True,457247370.82761765,,22,False,19,False,,,1e-05,False,2.4675825895977272,step2_joint_lm_jcls,,converged,6.906374620867204e-13,,False,,,,,coarse_jcls,Coarse JCLS,2493822958631.5283,True,30,0,19,,True,coarse_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493804406050.15,finite_crlb,0,19,True,30,19,22,8,3,19,1831.1349397033825,1830.9793274584981,1831.1349542420653,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,1.318351797080896e-06,2,20294364,10.0
,True,,12576.12121305591,5,,19,False,"[19, 19]",0.00021990699034004876,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated,,19,False,True,converged,True,True,refined_jcls,"Refined JCLS, 0.5 s",2493915665551.9624,True,150,0,19,,True,refined_jcls_full_gauged_v24_theta,19,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493840625877.3374,finite_crlb,0,19,True,150,19,5,8,3,19,12149.332380335647,12149.430760882158,12149.332399230865,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,8.189262651106799e-06,2,20294364,10.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,51.65544017692587,True,24,0,9,"[{'user_id': 1, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.65544017692587}, {'user_id': 2, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.62388898374503}, {'user_id': 3, 'measurement_count': 8, 'state_dim': 3, 'rank': 3, 'nullity': 0, 'is_full_rank': True, 'condition_number': 51.60573354588944}]",True,without_cooperation_independent_dl_position_blocks,9,0,10.0,,v24_three_stage_dynamic,fig7_synchronization_vs_clock_std_human_review,2493804406050.15,finite_crlb,0,19,True,30,19,,8,3,19,9.62612208868689,9.59234677392422,9.626635644874703,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,9.92136713033311e-09,3,20302283,10.0
