all_baseline_observability_full_rank,all_baseline_observability_reportable,all_full_jcls_scenario_full_rank,baseline_id,baseline_label,baseline_observability_measurement_count,baseline_observability_scope,baseline_observability_state_dim,clock_std_ns,failure_rate,figure_id,max_baseline_observability_condition_number,max_baseline_observability_nullity,max_full_jcls_scenario_condition_number,max_full_jcls_scenario_fim_nullity,mean,median,metric_field,min_baseline_observability_rank,min_full_jcls_scenario_fim_rank,num_satellites,num_users,rank_metadata_scope,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,10.0,0.625,fig7_synchronization_vs_clock_std_human_review,2493822958631.5283,0,2493804406050.15,0,1.500785837493029e-06,1.3482359376976198e-06,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,1.5814181798332297e-06,clock_sweep,1.8842403906667235e-07,5.329436630504119e-07,0.375,8,10.0
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,100.0,0.375,fig7_synchronization_vs_clock_std_human_review,217344875729.96027,0,217344752306.1549,0,3.854157764593917e-06,3.642456347543001e-06,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,3.98408739287365e-06,clock_sweep,3.8142969389150577e-07,1.0788460923863712e-06,0.625,8,100.0
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,1000.0,1.0,fig7_synchronization_vs_clock_std_human_review,31060141607.25448,0,31060179801.957397,0,4.657892028197143e-06,4.964622874091878e-06,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,4.761321836561367e-06,clock_sweep,3.7306213288972625e-07,1.0551790558809695e-06,0.0,8,1000.0
True,True,True,coarse_jcls,Coarse JCLS,30,coarse_jcls_full_gauged_v24_theta,19,10000.0,1.0,fig7_synchronization_vs_clock_std_human_review,638441589869.5939,0,638446901738.7766,0,1.4025071024297258e-05,1.4015593490058341e-05,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,1.4030813983972122e-05,clock_sweep,1.5171581339798623e-07,4.291171218677957e-07,0.0,8,10000.0
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",150,refined_jcls_full_gauged_v24_theta,19,10.0,0.625,fig7_synchronization_vs_clock_std_human_review,2493915665551.9624,0,2493840625877.3374,0,1.1201091894765687e-05,8.528678775113953e-06,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,1.4009793080521342e-05,clock_sweep,3.1805175347965466e-06,8.995862066149437e-06,0.375,8,10.0
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",150,refined_jcls_full_gauged_v24_theta,19,100.0,0.375,fig7_synchronization_vs_clock_std_human_review,217345242332.2434,0,217343944941.6057,0,4.0537866034789665e-06,3.908584157463168e-06,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,4.167534517218809e-06,clock_sweep,3.6550515448088516e-07,1.033804693168282e-06,0.625,8,100.0
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",150,refined_jcls_full_gauged_v24_theta,19,1000.0,1.0,fig7_synchronization_vs_clock_std_human_review,31060145987.30836,0,31060161272.799004,0,3.761074894957338e-06,3.5770755565189914e-06,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,3.896342807890317e-06,clock_sweep,3.846710860537219e-07,1.0880141338999229e-06,0.0,8,1000.0
True,True,True,refined_jcls,"Refined JCLS, 0.5 s",150,refined_jcls_full_gauged_v24_theta,19,10000.0,1.0,fig7_synchronization_vs_clock_std_human_review,638437854218.198,0,638442920330.6062,0,1.1535881566401576e-05,1.1256531904921484e-05,sync_error_mean_s,19,19,8,3,full_jcls_scenario_not_baseline_observability,1.1599256529476462e-05,clock_sweep,4.576630892071922e-07,1.294466695508758e-06,0.0,8,10000.0
True,True,True,without_cooperation,Without cooperation,24,without_cooperation_independent_dl_position_blocks,9,10.0,0.0,fig7_synchronization_vs_clock_std_human_review,51.65544017692587,0,2493804406050.15,0,9.92136713033311e-09,9.92136713033311e-09,sync_error_mean_s,9,19,8,3,full_jcls_scenario_not_baseline_observability,9.92136713033311e-09,clock_sweep,0.0,0.0,1.0,8,10.0
True,True,True,without_cooperation,Without cooperation,24,without_cooperation_independent_dl_position_blocks,9,100.0,0.0,fig7_synchronization_vs_clock_std_human_review,29.802801109663037,0,217344752306.1549,0,7.216759584982625e-08,7.216759584982625e-08,sync_error_mean_s,9,19,8,3,full_jcls_scenario_not_baseline_observability,7.216759584982625e-08,clock_sweep,0.0,0.0,1.0,8,100.0
True,True,True,without_cooperation,Without cooperation,24,without_cooperation_independent_dl_position_blocks,9,1000.0,0.0,fig7_synchronization_vs_clock_std_human_review,35.904659434791,0,31060179801.957397,0,8.301269186804559e-07,8.301269186804559e-07,sync_error_mean_s,9,19,8,3,full_jcls_scenario_not_baseline_observability,8.301269186804559e-07,clock_sweep,0.0,0.0,1.0,8,1000.0
True,True,True,without_cooperation,Without cooperation,24,without_cooperation_independent_dl_position_blocks,9,10000.0,0.0,fig7_synchronization_vs_clock_std_human_review,37.37544133860188,0,638446901738.7766,0,6.623997644076216e-06,6.623997644076216e-06,sync_error_mean_s,9,19,8,3,full_jcls_scenario_not_baseline_observability,6.623997644076216e-06,clock_sweep,0.0,0.0,1.0,8,10000.0
