baseline_id,baseline_label,case_index,clock_std_ns,condition_number,cost,crlb_status,figure_id,fim_nullity,fim_rank,is_full_rank,measurement_count,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
without_cooperation,Without cooperation,0,1000.0,3.8104502621351936e+17,,finite_crlb,fig4_localization_vs_satellites_candidate,0,7,True,4,,4,1,7,1264.6865632892302,1264.6865632892302,1264.6865632892302,,1,True,3.5665744307414673e-07,0,20268723,4
coarse_jcls,Coarse JCLS,0,1000.0,3.8104502621351936e+17,4.584856037806424e-08,finite_crlb,fig4_localization_vs_satellites_candidate,0,7,True,4,40,4,1,7,52.956415663260515,52.956415663260515,52.956415663260515,,1,True,2.1623282943075414e-08,0,20268723,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,2.6797968991895693e+17,13.178636653551449,finite_crlb,fig4_localization_vs_satellites_candidate,0,7,True,20,25,4,1,7,111.83974863957401,111.83974863957401,111.83974863957401,,1,True,1.006824608052089e-07,0,20268723,4
without_cooperation,Without cooperation,0,1000.0,3.8104502621351936e+17,,finite_crlb,fig4_localization_vs_satellites_candidate,0,7,True,4,,4,1,7,1265.1927302410863,1265.1927302410863,1265.1927302410863,,1,True,3.5665744307414673e-07,1,20276642,4
coarse_jcls,Coarse JCLS,0,1000.0,3.8104502621351936e+17,1.5325789051253135e-10,finite_crlb,fig4_localization_vs_satellites_candidate,0,7,True,4,34,4,1,7,99.31333694907765,99.31333694907765,99.31333694907765,,1,True,7.677792874741578e-08,1,20276642,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,2.6797968991895693e+17,9.866369406999054,finite_crlb,fig4_localization_vs_satellites_candidate,0,7,True,20,21,4,1,7,167.22073534618917,167.22073534618917,167.22073534618917,,1,True,1.479192593178045e-07,1,20276642,4
without_cooperation,Without cooperation,0,1000.0,3.8104502621351936e+17,,finite_crlb,fig4_localization_vs_satellites_candidate,0,7,True,4,,4,1,7,1265.5853282945043,1265.5853282945043,1265.5853282945043,,1,True,3.5665744307414673e-07,2,20284561,4
coarse_jcls,Coarse JCLS,0,1000.0,3.8104502621351936e+17,6.066538667422725e-08,finite_crlb,fig4_localization_vs_satellites_candidate,0,7,True,4,39,4,1,7,95.54220616599113,95.54220616599113,95.54220616599113,,1,True,8.895239080350812e-08,2,20284561,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,2.6797968991895693e+17,5.439182502333674,finite_crlb,fig4_localization_vs_satellites_candidate,0,7,True,20,24,4,1,7,406.0501776155213,406.0501776155213,406.0501776155213,,1,True,3.407792343394123e-07,2,20284561,4
without_cooperation,Without cooperation,1,1000.0,1.1071578352092136e+17,,finite_crlb,fig4_localization_vs_satellites_candidate,0,11,True,8,,8,1,11,1029.639897717632,1029.639897717632,1029.639897717632,,1,True,8.089307166511813e-07,0,20269732,8
