algorithm_accepted_steps,algorithm_converged,algorithm_final_damping,algorithm_final_innovation_norm,algorithm_iteration_count,algorithm_iteration_limit_reached,algorithm_jacobian_rank,algorithm_numerical_failure,algorithm_pi_shape,algorithm_posterior_covariance_trace,algorithm_process_noise_std_km,algorithm_reference_satellite_clock_in_state,algorithm_residual_norm,algorithm_stage,algorithm_state_dim,algorithm_status,algorithm_step_norm,algorithm_theta_dim,algorithm_truth_centered_initialization,algorithm_update_completed,algorithm_upstream_status,algorithm_upstream_success,algorithm_uses_innovation_z_minus_h_pred,baseline_id,baseline_label,case_index,clock_std_ns,cost,estimator_mode,figure_id,full_jcls_scenario_condition_number,full_jcls_scenario_crlb_status,full_jcls_scenario_fim_nullity,full_jcls_scenario_fim_rank,full_jcls_scenario_is_full_rank,full_jcls_scenario_measurement_count,full_jcls_scenario_parameter_dim,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,rank_metadata_note,rank_metadata_scope,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,1.2837678760196304e+17,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,1819.3919377034085,1819.3919377034085,1819.3919377034085,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,8.542909621177202e-07,0,20268724,4
0,False,0.001,,1,False,4,False,,,1e-05,False,inf,step2_joint_lm_jcls,,rank_deficient,inf,,False,,,,,coarse_jcls,Coarse JCLS,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,1.2837678760196304e+17,rank_deficient_diagnostic,3,4,False,4,7,1,4,1,7,1819.3919377034085,1819.3919377034085,1819.3919377034085,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,8.542909621177202e-07,0,20268724,4
,False,,,0,,,False,"[7, 7]",,1e-05,False,,step3_dynamic_sci_sfi_information_update,7,not_updated_upstream_failed,,7,False,False,rank_deficient,False,True,refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,3.4417956018128796e+16,rank_deficient_diagnostic,3,4,False,20,7,0,4,1,7,1819.3919377034085,1819.3919377034085,1819.3919377034085,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,8.542909621177202e-07,0,20268724,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,1.2837678760196304e+17,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,1817.9771799344385,1817.9771799344385,1817.9771799344385,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,8.542909621177202e-07,1,20276643,4
0,False,0.001,,1,False,4,False,,,1e-05,False,inf,step2_joint_lm_jcls,,rank_deficient,inf,,False,,,,,coarse_jcls,Coarse JCLS,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,1.2837678760196304e+17,rank_deficient_diagnostic,3,4,False,4,7,1,4,1,7,1817.9771799344385,1817.9771799344385,1817.9771799344385,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,8.542909621177202e-07,1,20276643,4
,False,,,0,,,False,"[7, 7]",,1e-05,False,,step3_dynamic_sci_sfi_information_update,7,not_updated_upstream_failed,,7,False,False,rank_deficient,False,True,refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,3.4417956018128796e+16,rank_deficient_diagnostic,3,4,False,20,7,0,4,1,7,1817.9771799344385,1817.9771799344385,1817.9771799344385,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,8.542909621177202e-07,1,20276643,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,1.2837678760196304e+17,rank_deficient_diagnostic,3,4,False,4,7,,4,1,7,1817.3262142960566,1817.3262142960566,1817.3262142960566,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,8.542909621177202e-07,2,20284562,4
0,False,0.001,,1,False,4,False,,,1e-05,False,inf,step2_joint_lm_jcls,,rank_deficient,inf,,False,,,,,coarse_jcls,Coarse JCLS,0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,1.2837678760196304e+17,rank_deficient_diagnostic,3,4,False,4,7,1,4,1,7,1817.3262142960566,1817.3262142960566,1817.3262142960566,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,8.542909621177202e-07,2,20284562,4
,False,,,0,,,False,"[7, 7]",,1e-05,False,,step3_dynamic_sci_sfi_information_update,7,not_updated_upstream_failed,,7,False,False,rank_deficient,False,True,refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,3.4417956018128796e+16,rank_deficient_diagnostic,3,4,False,20,7,0,4,1,7,1817.3262142960566,1817.3262142960566,1817.3262142960566,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,8.542909621177202e-07,2,20284562,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,1,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,1.3373127080321e+17,rank_deficient_diagnostic,3,8,False,8,11,,8,1,11,514.54474792684,514.54474792684,514.54474792684,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,True,7.168376400567586e-07,0,20269733,8
0,False,0.001,,1,False,8,False,,,1e-05,False,inf,step2_joint_lm_jcls,,rank_deficient,inf,,False,,,,,coarse_jcls,Coarse JCLS,1,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,1.3373127080321e+17,rank_deficient_diagnostic,3,8,False,8,11,1,8,1,11,514.54474792684,514.54474792684,514.54474792684,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,1,False,7.168376400567586e-07,0,20269733,8
