algorithm_accepted_steps,algorithm_converged,algorithm_final_damping,algorithm_final_innovation_norm,algorithm_iteration_count,algorithm_iteration_limit_reached,algorithm_jacobian_rank,algorithm_numerical_failure,algorithm_pi_shape,algorithm_posterior_covariance_trace,algorithm_process_noise_std_km,algorithm_reference_satellite_clock_in_state,algorithm_residual_norm,algorithm_stage,algorithm_state_dim,algorithm_status,algorithm_step_norm,algorithm_theta_dim,algorithm_truth_centered_initialization,algorithm_update_completed,algorithm_upstream_status,algorithm_upstream_success,algorithm_uses_innovation_z_minus_h_pred,baseline_id,baseline_label,case_index,clock_std_ns,cost,estimator_mode,figure_id,full_jcls_scenario_condition_number,full_jcls_scenario_crlb_status,full_jcls_scenario_fim_nullity,full_jcls_scenario_fim_rank,full_jcls_scenario_is_full_rank,full_jcls_scenario_measurement_count,full_jcls_scenario_parameter_dim,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,rank_metadata_note,rank_metadata_scope,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,0,1.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,3333199650161.4023,finite_crlb,0,19,True,30,19,,8,3,19,0.315439210700641,0.32933382907420883,0.3206125478770884,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,7.006162136717021e-10,0,20268725,1.0
15,False,0.6969171937625634,,25,True,19,False,,,1e-05,False,3.2026480882260167,step2_joint_lm_jcls,,updated_not_converged,0.06275119089807932,,False,,,,,coarse_jcls,Coarse JCLS,0,1.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,3333199650161.4023,finite_crlb,0,19,True,30,19,25,8,3,19,1448.1674664025004,1448.1615588849238,1448.1674667718985,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,7.819543978179231e-07,0,20268725,1.0
,False,,109.85562033165328,5,,19,False,"[19, 19]",0.004945639392981163,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated_upstream_not_converged,,19,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",0,1.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,3333300961526.685,finite_crlb,0,19,True,150,19,5,8,3,19,3422.3137086972947,3422.303374884212,3422.313708900075,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,1.955669796319529e-06,0,20268725,1.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,0,1.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,3333199650161.4023,finite_crlb,0,19,True,30,19,,8,3,19,0.8332751200344223,0.7537227069093234,0.8530466484123727,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,7.006162136717021e-10,1,20276644,1.0
15,False,0.6969171937625633,,25,True,19,False,,,1e-05,False,2.760167471212228,step2_joint_lm_jcls,,updated_not_converged,0.03177408438046525,,False,,,,,coarse_jcls,Coarse JCLS,0,1.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,3333199650161.4023,finite_crlb,0,19,True,30,19,25,8,3,19,910.6041836471895,910.7688994435597,910.6042326591202,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,4.305431777125336e-07,1,20276644,1.0
,False,,696.9655034419619,5,,19,False,"[19, 19]",0.0010364244946243905,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated_upstream_not_converged,,19,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",0,1.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,3333300961526.685,finite_crlb,0,19,True,150,19,5,8,3,19,5712.150317425842,5712.388081071912,5712.150341825019,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,2.446205717646094e-06,1,20276644,1.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,0,1.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,3333199650161.4023,finite_crlb,0,19,True,30,19,,8,3,19,0.6787964803351912,0.3723772075756552,0.8471554017714906,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,7.006162136717021e-10,2,20284563,1.0
15,False,0.6969171937625634,,25,True,19,False,,,1e-05,False,5.062237159748414,step2_joint_lm_jcls,,updated_not_converged,0.06148952389357537,,False,,,,,coarse_jcls,Coarse JCLS,0,1.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,3333199650161.4023,finite_crlb,0,19,True,30,19,25,8,3,19,1993.8191159069654,1994.0149859650408,1993.8191407943114,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,1.6644140737601359e-06,2,20284563,1.0
,False,,9119.63965689742,5,,19,False,"[19, 19]",8.23586605730559e-05,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated_upstream_not_converged,,19,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",0,1.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,3333300961526.685,finite_crlb,0,19,True,150,19,5,8,3,19,18060.60527590426,18060.599552383446,18060.605282098357,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,1.0519300859672328e-05,2,20284563,1.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,1,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,25336759482.99978,finite_crlb,0,19,True,30,19,,8,3,19,11.863639521379866,11.576242436124872,11.887542440228478,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,1.020562431981854e-08,0,20269734,10.0
