all_full_rank,baseline_id,baseline_label,clock_std_ns,failure_rate,figure_id,max_condition_number,max_fim_nullity,mean,median,metric_field,min_fim_rank,num_satellites,num_users,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
True,coarse_jcls,Coarse JCLS,1.0,0.0,fig7_synchronization_vs_clock_std_candidate,780047840411.7301,0,1.239540629854009e-06,1.065897325086359e-06,sync_error_mean_s,19,8,3,1.4014052730308447e-06,clock_sweep,4.62317945909405e-07,8.007581715659694e-07,1.0,3,1.0
True,coarse_jcls,Coarse JCLS,10.0,0.0,fig7_synchronization_vs_clock_std_candidate,459462588176.476,0,2.0058661221535873e-06,1.6164266643475586e-06,sync_error_mean_s,19,8,3,2.112078608150152e-06,clock_sweep,4.676415010464818e-07,8.099788395402807e-07,1.0,3,10.0
True,coarse_jcls,Coarse JCLS,100.0,0.0,fig7_synchronization_vs_clock_std_candidate,28524570409.378372,0,2.0719995134742542e-06,1.844120828824825e-06,sync_error_mean_s,19,8,3,2.4188191824025257e-06,clock_sweep,8.824693346855964e-07,1.528481723796957e-06,1.0,3,100.0
True,coarse_jcls,Coarse JCLS,1000.0,0.0,fig7_synchronization_vs_clock_std_candidate,269971063492.35602,0,3.2116647673994704e-06,3.066738671266205e-06,sync_error_mean_s,19,8,3,3.270135627610731e-06,clock_sweep,4.3531393546148825e-07,7.539858534620568e-07,1.0,3,1000.0
True,coarse_jcls,Coarse JCLS,10000.0,0.0,fig7_synchronization_vs_clock_std_candidate,93094615876.6845,0,2.376841745064619e-05,2.365955548782434e-05,sync_error_mean_s,19,8,3,2.3772995998227384e-05,clock_sweep,3.2990197298042715e-07,5.714069787193147e-07,1.0,3,10000.0
True,refined_jcls,"Refined JCLS, 0.5 s",1.0,0.0,fig7_synchronization_vs_clock_std_candidate,780054829336.3685,0,2.359140404852338e-06,1.856233970634454e-06,sync_error_mean_s,19,8,3,2.549571998342788e-06,clock_sweep,6.836570503281539e-07,1.1841287461210354e-06,1.0,3,1.0
True,refined_jcls,"Refined JCLS, 0.5 s",10.0,0.0,fig7_synchronization_vs_clock_std_candidate,459465269981.9654,0,2.8675250133242888e-06,2.3506699192743515e-06,sync_error_mean_s,19,8,3,3.045714740855602e-06,clock_sweep,7.258369584915902e-07,1.2571864901186963e-06,1.0,3,10.0
True,refined_jcls,"Refined JCLS, 0.5 s",100.0,0.0,fig7_synchronization_vs_clock_std_candidate,28524556669.422863,0,1.6530575681226778e-06,1.807861712540947e-06,sync_error_mean_s,19,8,3,1.8596901205488974e-06,clock_sweep,6.024317475612947e-07,1.0434423948686703e-06,1.0,3,100.0
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig7_synchronization_vs_clock_std_candidate,269969744953.42725,0,5.119633147354569e-06,5.247867843620901e-06,sync_error_mean_s,19,8,3,5.136439127125763e-06,clock_sweep,2.9356715004988763e-07,5.084732193196017e-07,1.0,3,1000.0
True,refined_jcls,"Refined JCLS, 0.5 s",10000.0,0.0,fig7_synchronization_vs_clock_std_candidate,93094483174.25499,0,0.00024782547332066637,0.00024773954542279424,sync_error_mean_s,19,8,3,0.000247826456608284,clock_sweep,4.936438014153329e-07,8.550161448927978e-07,1.0,3,10000.0
True,without_cooperation,Without cooperation,1.0,0.0,fig7_synchronization_vs_clock_std_candidate,780047840411.7301,0,1.0587041511846527e-09,1.0587041511846527e-09,sync_error_mean_s,19,8,3,1.0587041511846527e-09,clock_sweep,0.0,0.0,1.0,3,1.0
True,without_cooperation,Without cooperation,10.0,0.0,fig7_synchronization_vs_clock_std_candidate,459462588176.476,0,9.346998638067855e-09,9.346998638067855e-09,sync_error_mean_s,19,8,3,9.346998638067855e-09,clock_sweep,0.0,0.0,1.0,3,10.0
True,without_cooperation,Without cooperation,100.0,0.0,fig7_synchronization_vs_clock_std_candidate,28524570409.378372,0,6.982486036927979e-08,6.982486036927979e-08,sync_error_mean_s,19,8,3,6.982486036927979e-08,clock_sweep,0.0,0.0,1.0,3,100.0
True,without_cooperation,Without cooperation,1000.0,0.0,fig7_synchronization_vs_clock_std_candidate,269971063492.35602,0,5.872349979521419e-07,5.872349979521419e-07,sync_error_mean_s,19,8,3,5.872349979521419e-07,clock_sweep,0.0,0.0,1.0,3,1000.0
True,without_cooperation,Without cooperation,10000.0,0.0,fig7_synchronization_vs_clock_std_candidate,93094615876.6845,0,6.8563453818859305e-06,6.8563453818859305e-06,sync_error_mean_s,19,8,3,6.856345381885931e-06,clock_sweep,0.0,0.0,1.0,3,10000.0
